participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
cgv	you're the only one who hasn't said anything  you like it	[you, are, the, only, one, who, has, not, said, anything, you, like, it]	[you, be, the, only, one, who, have, not, say, anything, you, like, it]	[(you, PRP), (are, VBP), (the, DT), (only, JJ), (one, NN), (who, WP), (has, VBZ), (not, RB), (said, VBD), (anything, NN), (you, PRP), (like, IN), (it, PRP)]	[(you, PRP), (be, VB), (the, DT), (only, JJ), (one, NN), (who, WP), (have, VBP), (not, RB), (say, VB), (anything, NN), (you, PRP), (like, IN), (it, PRP)]	[(you, PRP), (are, VBP), (the, DT), (only, JJ), (one, NN), (who, WP), (has, VBZ), (not, RB), (said, VBN), (anything, NN), (you, PRP), (like, IN), (it, PRP)]	[(you, PRP), (be, VB), (the, DT), (only, JJ), (one, NN), (who, WP), (have, VBP), (not, RB), (say, VB), (anything, NN), (you, PRP), (like, IN), (it, PRP)]	time6-cond1.txt
kid	 what you making	[what, you, making]	[what, you, make]	[(what, WP), (you, PRP), (making, VBG)]	[(what, WP), (you, PRP), (make, VBP)]	[(what, WP), (you, PRP), (making, VBG)]	[(what, WP), (you, PRP), (make, VBP)]	time6-cond1.txt
cgv	i'm chopping pecans up so that they'll be small and i can put them into the cookies	[i, am, chopping, pecans, up, so, that, they, will, be, small, and, i, can, put, them, into, the, cookies]	[i, be, chop, pecan, up, so, that, they, will, be, small, and, i, can, put, them, into, the, cooky]	[(i, NN), (am, VBP), (chopping, VBG), (pecans, NNS), (up, RB), (so, RB), (that, IN), (they, PRP), (will, MD), (be, VB), (small, JJ), (and, CC), (i, JJ), (can, MD), (put, VB), (them, PRP), (into, IN), (the, DT), (cookies, NNS)]	[(i, NN), (be, VB), (chop, VBN), (pecan, JJ), (up, RB), (so, RB), (that, IN), (they, PRP), (will, MD), (be, VB), (small, JJ), (and, CC), (i, JJ), (can, MD), (put, VB), (them, PRP), (into, IN), (the, DT), (cooky, NN)]	[(i, LS), (am, VBP), (chopping, VBG), (pecans, NNS), (up, RB), (so, RB), (that, IN), (they, PRP), (will, MD), (be, VB), (small, JJ), (and, CC), (i, FW), (can, MD), (put, VB), (them, PRP), (into, IN), (the, DT), (cookies, NNS)]	[(i, LS), (be, VB), (chop, VB), (pecan, NN), (up, IN), (so, RB), (that, IN), (they, PRP), (will, MD), (be, VB), (small, JJ), (and, CC), (i, FW), (can, MD), (put, VB), (them, PRP), (into, IN), (the, DT), (cooky, NN)]	time6-cond1.txt
kid	 what you making what you making terry  apples in that sugar i like sugar	[what, you, making, what, you, making, terry, apples, in, that, sugar, i, like, sugar]	[what, you, make, what, you, make, terry, apple, in, that, sugar, i, like, sugar]	[(what, WP), (you, PRP), (making, VBG), (what, WP), (you, PRP), (making, VBG), (terry, JJ), (apples, NNS), (in, IN), (that, DT), (sugar, NN), (i, NN), (like, IN), (sugar, NN)]	[(what, WP), (you, PRP), (make, VBP), (what, WP), (you, PRP), (make, VBP), (terry, JJ), (apple, NN), (in, IN), (that, DT), (sugar, NN), (i, NN), (like, IN), (sugar, NN)]	[(what, WP), (you, PRP), (making, VBG), (what, WP), (you, PRP), (making, VBG), (terry, NN), (apples, NNS), (in, IN), (that, DT), (sugar, NN), (i, FW), (like, IN), (sugar, NN)]	[(what, WP), (you, PRP), (make, VBP), (what, WP), (you, PRP), (make, VBP), (terry, NN), (apple, NN), (in, IN), (that, DT), (sugar, NN), (i, FW), (like, IN), (sugar, NN)]	time6-cond1.txt
cgv	just a minute here lick this beater don't eat the sugar	[just, a, minute, here, lick, this, beater, do, not, eat, the, sugar]	[just, a, minute, here, lick, this, beater, do, not, eat, the, sugar]	[(just, RB), (a, DT), (minute, NN), (here, RB), (lick, VBZ), (this, DT), (beater, NN), (do, VBP), (not, RB), (eat, VB), (the, DT), (sugar, NN)]	[(just, RB), (a, DT), (minute, NN), (here, RB), (lick, VBZ), (this, DT), (beater, NN), (do, VBP), (not, RB), (eat, VB), (the, DT), (sugar, NN)]	[(just, RB), (a, DT), (minute, NN), (here, RB), (lick, VB), (this, DT), (beater, NN), (do, VBP), (not, RB), (eat, VB), (the, DT), (sugar, NN)]	[(just, RB), (a, DT), (minute, NN), (here, RB), (lick, VB), (this, DT), (beater, NN), (do, VBP), (not, RB), (eat, VB), (the, DT), (sugar, NN)]	time6-cond1.txt
kid	give me this is sugar no not sugar what those have those have birds that's a bird	[give, me, this, is, sugar, no, not, sugar, what, those, have, those, have, birds, that, is, a, bird]	[give, me, this, be, sugar, no, not, sugar, what, those, have, those, have, bird, that, be, a, bird]	[(give, VB), (me, PRP), (this, DT), (is, VBZ), (sugar, JJ), (no, RB), (not, RB), (sugar, VB), (what, WP), (those, DT), (have, VBP), (those, DT), (have, VBP), (birds, NNS), (that, WDT), (is, VBZ), (a, DT), (bird, NN)]	[(give, VB), (me, PRP), (this, DT), (be, VB), (sugar, JJ), (no, DT), (not, RB), (sugar, VB), (what, WP), (those, DT), (have, VBP), (those, DT), (have, VBP), (bird, VBN), (that, IN), (be, VB), (a, DT), (bird, NN)]	[(give, VB), (me, PRP), (this, DT), (is, VBZ), (sugar, NN), (no, DT), (not, RB), (sugar, NN), (what, WDT), (those, DT), (have, VBP), (those, DT), (have, VBP), (birds, NNS), (that, WDT), (is, VBZ), (a, DT), (bird, NN)]	[(give, VB), (me, PRP), (this, DT), (be, VB), (sugar, NN), (no, DT), (not, RB), (sugar, NN), (what, WDT), (those, DT), (have, VBP), (those, DT), (have, VBP), (bird, NN), (that, WDT), (be, VB), (a, DT), (bird, NN)]	time6-cond1.txt
cgv	you can eat this one abe	[you, can, eat, this, one, abe]	[you, can, eat, this, one, abe]	[(you, PRP), (can, MD), (eat, VB), (this, DT), (one, CD), (abe, NN)]	[(you, PRP), (can, MD), (eat, VB), (this, DT), (one, CD), (abe, NN)]	[(you, PRP), (can, MD), (eat, VB), (this, DT), (one, CD), (abe, NN)]	[(you, PRP), (can, MD), (eat, VB), (this, DT), (one, CD), (abe, NN)]	time6-cond1.txt
kid	that this is yummy	[that, this, is, yummy]	[that, this, be, yummy]	[(that, IN), (this, DT), (is, VBZ), (yummy, JJ)]	[(that, IN), (this, DT), (be, VB), (yummy, JJ)]	[(that, IN), (this, DT), (is, VBZ), (yummy, JJ)]	[(that, IN), (this, DT), (be, VB), (yummy, JJ)]	time6-cond1.txt
cgv	are these your favorite kind too	[are, these, your, favorite, kind, too]	[be, these, your, favorite, kind, too]	[(are, VBP), (these, DT), (your, PRP$), (favorite, NN), (kind, NN), (too, RB)]	[(be, VB), (these, DT), (your, PRP$), (favorite, NN), (kind, NN), (too, RB)]	[(are, VBP), (these, DT), (your, PRP$), (favorite, JJ), (kind, NN), (too, RB)]	[(be, VB), (these, DT), (your, PRP$), (favorite, JJ), (kind, NN), (too, RB)]	time6-cond1.txt
kid	 all done off	[all, done, off]	[all, do, off]	[(all, DT), (done, VBN), (off, RP)]	[(all, DT), (do, VBP), (off, RP)]	[(all, DT), (done, VBN), (off, RP)]	[(all, DT), (do, VBP), (off, RP)]	time6-cond1.txt
