participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
kid	yeah next time when a movie comes on next it's be a ape show	[yeah, next, time, when, a, movie, comes, on, next, it, is, be, a, ape, show]	[yeah, next, time, when, a, movie, come, on, next, it, be, be, a, ape, show]	[(yeah, RB), (next, JJ), (time, NN), (when, WRB), (a, DT), (movie, NN), (comes, VBZ), (on, IN), (next, JJ), (it, PRP), (is, VBZ), (be, VB), (a, DT), (ape, NN), (show, NN)]	[(yeah, RB), (next, JJ), (time, NN), (when, WRB), (a, DT), (movie, NN), (come, VBN), (on, IN), (next, JJ), (it, PRP), (be, VB), (be, VB), (a, DT), (ape, NN), (show, NN)]	[(yeah, JJ), (next, JJ), (time, NN), (when, WRB), (a, DT), (movie, NN), (comes, VBZ), (on, IN), (next, JJ), (it, PRP), (is, VBZ), (be, VB), (a, DT), (ape, NN), (show, NN)]	[(yeah, JJ), (next, JJ), (time, NN), (when, WRB), (a, DT), (movie, NN), (come, VBN), (on, IN), (next, JJ), (it, PRP), (be, VB), (be, VB), (a, DT), (ape, NN), (show, NN)]	time59-cond1.txt
cgv	it's going to be a monkey movie next time it comes on what are you doing	[it, is, going, to, be, a, monkey, movie, next, time, it, comes, on, what, are, you, doing]	[it, be, go, to, be, a, monkey, movie, next, time, it, come, on, what, be, you, do]	[(it, PRP), (is, VBZ), (going, VBG), (to, TO), (be, VB), (a, DT), (monkey, JJ), (movie, NN), (next, JJ), (time, NN), (it, PRP), (comes, VBZ), (on, IN), (what, WDT), (are, VBP), (you, PRP), (doing, VBG)]	[(it, PRP), (be, VB), (go, VBN), (to, TO), (be, VB), (a, DT), (monkey, JJ), (movie, NN), (next, JJ), (time, NN), (it, PRP), (come, VB), (on, IN), (what, WP), (be, VB), (you, PRP), (do, VB)]	[(it, PRP), (is, VBZ), (going, VBG), (to, TO), (be, VB), (a, DT), (monkey, NN), (movie, NN), (next, JJ), (time, NN), (it, PRP), (comes, VBZ), (on, IN), (what, WP), (are, VBP), (you, PRP), (doing, VBG)]	[(it, PRP), (be, VB), (go, VB), (to, TO), (be, VB), (a, DT), (monkey, NN), (movie, NN), (next, JJ), (time, NN), (it, PRP), (come, VBD), (on, IN), (what, WP), (be, VB), (you, PRP), (do, VBP)]	time59-cond1.txt
kid	i'm eating	[i, am, eating]	[i, be, eat]	[(i, NN), (am, VBP), (eating, VBG)]	[(i, NN), (be, VB), (eat, NN)]	[(i, LS), (am, VBP), (eating, VBG)]	[(i, LS), (be, VB), (eat, VB)]	time59-cond1.txt
cgv	what are you eating	[what, are, you, eating]	[what, be, you, eat]	[(what, WP), (are, VBP), (you, PRP), (eating, VBG)]	[(what, WP), (be, VB), (you, PRP), (eat, VB)]	[(what, WP), (are, VBP), (you, PRP), (eating, VBG)]	[(what, WDT), (be, VB), (you, PRP), (eat, VB)]	time59-cond1.txt
kid	peanuts don't say that because that gets me sick and loneyc	[peanuts, do, not, say, that, because, that, gets, me, sick, and, money]	[peanut, do, not, say, that, because, that, get, me, sick, and, money]	[(peanuts, NNS), (do, VBP), (not, RB), (say, VB), (that, IN), (because, IN), (that, DT), (gets, VBZ), (me, PRP), (sick, JJ), (and, CC), (money, NN)]	[(peanut, NNS), (do, VBP), (not, RB), (say, VB), (that, IN), (because, IN), (that, DT), (get, VB), (me, PRP), (sick, JJ), (and, CC), (money, NN)]	[(peanuts, NNS), (do, VBP), (not, RB), (say, VB), (that, IN), (because, IN), (that, DT), (gets, VBZ), (me, PRP), (sick, JJ), (and, CC), (money, NN)]	[(peanut, NN), (do, VBP), (not, RB), (say, VB), (that, IN), (because, IN), (that, DT), (get, VBP), (me, PRP), (sick, JJ), (and, CC), (money, NN)]	time59-cond1.txt
cgv	 empty peanut shells make you sick and loneyc	[empty, peanut, shells, make, you, sick, and, money]	[empty, peanut, shell, make, you, sick, and, money]	[(empty, JJ), (peanut, NN), (shells, NNS), (make, VBP), (you, PRP), (sick, JJ), (and, CC), (money, NN)]	[(empty, JJ), (peanut, NN), (shell, NN), (make, VBP), (you, PRP), (sick, JJ), (and, CC), (money, NN)]	[(empty, JJ), (peanut, NN), (shells, NNS), (make, VBP), (you, PRP), (sick, JJ), (and, CC), (money, NN)]	[(empty, JJ), (peanut, NN), (shell, NN), (make, VBP), (you, PRP), (sick, JJ), (and, CC), (money, NN)]	time59-cond1.txt
kid	 do you know you have two red pens	[do, you, know, you, have, two, red, pens]	[do, you, know, you, have, two, red, pen]	[(do, VB), (you, PRP), (know, VB), (you, PRP), (have, VBP), (two, CD), (red, JJ), (pens, NNS)]	[(do, VB), (you, PRP), (know, VB), (you, PRP), (have, VBP), (two, CD), (red, JJ), (pen, NN)]	[(do, VB), (you, PRP), (know, VB), (you, PRP), (have, VBP), (two, CD), (red, JJ), (pens, NNS)]	[(do, VB), (you, PRP), (know, VB), (you, PRP), (have, VBP), (two, CD), (red, JJ), (pen, NN)]	time59-cond1.txt
cgv	yeah i know why don't we put one right here	[yeah, i, know, why, do, not, we, put, one, right, here]	[yeah, i, know, why, do, not, we, put, one, right, here]	[(yeah, NN), (i, NN), (know, VBP), (why, WRB), (do, VBP), (not, RB), (we, PRP), (put, VBP), (one, CD), (right, NN), (here, RB)]	[(yeah, NN), (i, NN), (know, VBP), (why, WRB), (do, VBP), (not, RB), (we, PRP), (put, VBP), (one, CD), (right, NN), (here, RB)]	[(yeah, JJ), (i, FW), (know, VBP), (why, WRB), (do, VBP), (not, RB), (we, PRP), (put, VBD), (one, CD), (right, NN), (here, RB)]	[(yeah, JJ), (i, FW), (know, VBP), (why, WRB), (do, VBP), (not, RB), (we, PRP), (put, VBD), (one, CD), (right, NN), (here, RB)]	time59-cond1.txt
kid	put this one anything happen at school	[put, this, one, anything, happen, at, school]	[put, this, one, anything, happen, at, school]	[(put, VB), (this, DT), (one, CD), (anything, NN), (happen, VB), (at, IN), (school, NN)]	[(put, VB), (this, DT), (one, CD), (anything, NN), (happen, VB), (at, IN), (school, NN)]	[(put, VB), (this, DT), (one, CD), (anything, NN), (happen, VB), (at, IN), (school, NN)]	[(put, VB), (this, DT), (one, CD), (anything, NN), (happen, VB), (at, IN), (school, NN)]	time59-cond1.txt
cgv	not too much really i played volleyball	[not, too, much, really, i, played, volleyball]	[not, too, much, really, i, play, volleyball]	[(not, RB), (too, RB), (much, JJ), (really, RB), (i, JJ), (played, VBD), (volleyball, NN)]	[(not, RB), (too, RB), (much, JJ), (really, RB), (i, JJ), (play, VBP), (volleyball, NN)]	[(not, RB), (too, RB), (much, JJ), (really, RB), (i, FW), (played, VBD), (volleyball, NN)]	[(not, RB), (too, RB), (much, JJ), (really, RB), (i, FW), (play, VBP), (volleyball, NN)]	time59-cond1.txt
kid	next time i'm gon ta come there can i see you playing can i see you playing there	[next, time, i, am, gon, ta, come, there, can, i, see, you, playing, can, i, see, you, playing, there]	[next, time, i, be, gon, ta, come, there, can, i, see, you, play, can, i, see, you, play, there]	[(next, JJ), (time, NN), (i, NN), (am, VBP), (gon, NN), (ta, NN), (come, VBP), (there, EX), (can, MD), (i, VB), (see, VB), (you, PRP), (playing, VBG), (can, MD), (i, VB), (see, VB), (you, PRP), (playing, VBG), (there, RB)]	[(next, JJ), (time, NN), (i, JJ), (be, VB), (gon, VBN), (ta, JJ), (come, VBP), (there, EX), (can, MD), (i, VB), (see, VB), (you, PRP), (play, VB), (can, MD), (i, VB), (see, VB), (you, PRP), (play, VB), (there, EX)]	[(next, JJ), (time, NN), (i, FW), (am, VBP), (gon, VBG), (ta, NN), (come, VBN), (there, RB), (can, MD), (i, FW), (see, VBP), (you, PRP), (playing, VBG), (can, MD), (i, FW), (see, VBP), (you, PRP), (playing, VBG), (there, RB)]	[(next, JJ), (time, NN), (i, FW), (be, VB), (gon, VBG), (ta, NN), (come, VBN), (there, RB), (can, MD), (i, FW), (see, VBP), (you, PRP), (play, VB), (can, MD), (i, FW), (see, VBP), (you, PRP), (play, VB), (there, RB)]	time59-cond1.txt
