participant	content	token	lemma	tagged_token	tagged_lemma	file
cgv	what would you like to drink abe	[what, would, you, like, to, drink, abe]	[what, would, you, like, to, drink, abe]	[(what, WP), (would, MD), (you, PRP), (like, IN), (to, TO), (drink, VB), (abe, NN)]	[(what, WP), (would, MD), (you, PRP), (like, IN), (to, TO), (drink, VB), (abe, NN)]	time94-cond1.txt
kid	how about water i'm gon ta have this one	[how, about, water, i, am, gon, ta, have, this, one]	[how, about, water, i, be, gon, ta, have, this, one]	[(how, WRB), (about, IN), (water, NN), (i, NN), (am, VBP), (gon, NN), (ta, NN), (have, VBP), (this, DT), (one, NN)]	[(how, WRB), (about, IN), (water, NN), (i, NN), (be, VB), (gon, VBN), (ta, RB), (have, VBP), (this, DT), (one, NN)]	time94-cond1.txt
cgv	do you want cheese	[do, you, want, cheese]	[do, you, want, cheese]	[(do, VBP), (you, PRP), (want, VB), (cheese, JJ)]	[(do, VBP), (you, PRP), (want, VB), (cheese, JJ)]	time94-cond1.txt
kid	 over here mommy what is that	[over, here, mommy, what, is, that]	[over, here, mommy, what, be, that]	[(over, IN), (here, RB), (mommy, VB), (what, WP), (is, VBZ), (that, DT)]	[(over, IN), (here, RB), (mommy, VB), (what, WP), (be, VB), (that, DT)]	time94-cond1.txt
cgv	just a piece of lettuce	[just, a, piece, of, lettuce]	[just, a, piece, of, lettuce]	[(just, RB), (a, DT), (piece, NN), (of, IN), (lettuce, NN)]	[(just, RB), (a, DT), (piece, NN), (of, IN), (lettuce, NN)]	time94-cond1.txt
kid	mommy roll this up no i want mommy to roll it up	[mommy, roll, this, up, no, i, want, mommy, to, roll, it, up]	[mommy, roll, this, up, no, i, want, mommy, to, roll, it, up]	[(mommy, NN), (roll, NN), (this, DT), (up, IN), (no, DT), (i, NN), (want, VBP), (mommy, NN), (to, TO), (roll, VB), (it, PRP), (up, RP)]	[(mommy, NN), (roll, NN), (this, DT), (up, IN), (no, DT), (i, NN), (want, VBP), (mommy, NN), (to, TO), (roll, VB), (it, PRP), (up, RP)]	time94-cond1.txt
cgv	would you like a little bit more meat	[would, you, like, a, little, bit, more, meat]	[would, you, like, a, little, bit, more, meat]	[(would, MD), (you, PRP), (like, VB), (a, DT), (little, JJ), (bit, NN), (more, RBR), (meat, NN)]	[(would, MD), (you, PRP), (like, VB), (a, DT), (little, JJ), (bit, NN), (more, RBR), (meat, NN)]	time94-cond1.txt
kid	no that's all the meat i want	[no, that, is, all, the, meat, i, want]	[no, that, be, all, the, meat, i, want]	[(no, DT), (that, WDT), (is, VBZ), (all, PDT), (the, DT), (meat, NN), (i, NN), (want, VBP)]	[(no, DT), (that, WDT), (be, VB), (all, PDT), (the, DT), (meat, NN), (i, NN), (want, VBP)]	time94-cond1.txt
cgv	how do they taste	[how, do, they, taste]	[how, do, they, taste]	[(how, WRB), (do, VBP), (they, PRP), (taste, VB)]	[(how, WRB), (do, VBP), (they, PRP), (taste, VB)]	time94-cond1.txt
kid	fine i want that spoon use this fork instead of my spoon	[fine, i, want, that, spoon, use, this, fork, instead, of, my, spoon]	[fine, i, want, that, spoon, use, this, fork, instead, of, my, spoon]	[(fine, JJ), (i, NN), (want, VBP), (that, IN), (spoon, NN), (use, NN), (this, DT), (fork, NN), (instead, RB), (of, IN), (my, PRP$), (spoon, NN)]	[(fine, JJ), (i, NN), (want, VBP), (that, IN), (spoon, NN), (use, NN), (this, DT), (fork, NN), (instead, RB), (of, IN), (my, PRP$), (spoon, NN)]	time94-cond1.txt
