participant	content	token	lemma	tagged_token	tagged_lemma	file
kid	cars and stuff hey mommy do you want ta see something i made this thing help i got a head on me i got a head on me i got a head on me i got a head on me	[cars, and, stuff, hey, mommy, do, you, want, ta, see, something, i, made, this, thing, help, i, got, a, head, on, me, i, got, a, head, on, me, i, got, a, head, on, me, i, got, a, head, on, me]	[car, and, stuff, hey, mommy, do, you, want, ta, see, something, i, make, this, thing, help, i, get, a, head, on, me, i, get, a, head, on, me, i, get, a, head, on, me, i, get, a, head, on, me]	[(cars, NNS), (and, CC), (stuff, NN), (hey, NN), (mommy, VBP), (do, VBP), (you, PRP), (want, VB), (ta, NNS), (see, VB), (something, NN), (i, RB), (made, VBD), (this, DT), (thing, NN), (help, NN), (i, VB), (got, VBD), (a, DT), (head, NN), (on, IN), (me, PRP), (i, JJ), (got, VBD), (a, DT), (head, NN), (on, IN), (me, PRP), (i, JJ), (got, VBD), (a, DT), (head, NN), (on, IN), (me, PRP), (i, JJ), (got, VBD), (a, DT), (head, NN), (on, IN), (me, PRP)]	[(car, NN), (and, CC), (stuff, NN), (hey, NN), (mommy, VBP), (do, VBP), (you, PRP), (want, VB), (ta, NNS), (see, VB), (something, NN), (i, RB), (make, VBP), (this, DT), (thing, NN), (help, NN), (i, VB), (get, VBP), (a, DT), (head, NN), (on, IN), (me, PRP), (i, JJ), (get, VBP), (a, DT), (head, NN), (on, IN), (me, PRP), (i, JJ), (get, VBP), (a, DT), (head, NN), (on, IN), (me, PRP), (i, JJ), (get, VBP), (a, DT), (head, NN), (on, IN), (me, PRP)]	time146-cond1.txt
cgv	what are you	[what, are, you]	[what, be, you]	[(what, WP), (are, VBP), (you, PRP)]	[(what, WP), (be, VB), (you, PRP)]	time146-cond1.txt
kid	i'm a boy with two heads help help i'm knocking on my head	[i, am, a, boy, with, two, heads, help, help, i, am, knocking, on, my, head]	[i, be, a, boy, with, two, head, help, help, i, be, knock, on, my, head]	[(i, NN), (am, VBP), (a, DT), (boy, NN), (with, IN), (two, CD), (heads, NNS), (help, VBP), (help, VB), (i, VB), (am, VBP), (knocking, VBG), (on, IN), (my, PRP$), (head, NN)]	[(i, NN), (be, VB), (a, DT), (boy, NN), (with, IN), (two, CD), (head, NN), (help, NN), (help, NN), (i, VB), (be, VB), (knock, VBN), (on, IN), (my, PRP$), (head, NN)]	time146-cond1.txt
cgv	i didn't know you could knock your own head	[i, did, not, know, you, could, knock, your, own, head]	[i, do, not, know, you, could, knock, your, own, head]	[(i, NN), (did, VBD), (not, RB), (know, VB), (you, PRP), (could, MD), (knock, VB), (your, PRP$), (own, JJ), (head, NN)]	[(i, NNS), (do, VBP), (not, RB), (know, VB), (you, PRP), (could, MD), (knock, VB), (your, PRP$), (own, JJ), (head, NN)]	time146-cond1.txt
kid	i can knock it why why are you breaking my steamroller	[i, can, knock, it, why, why, are, you, breaking, my, steamroller]	[i, can, knock, it, why, why, be, you, break, my, steamroller]	[(i, NN), (can, MD), (knock, VB), (it, PRP), (why, WRB), (why, WRB), (are, VBP), (you, PRP), (breaking, VBG), (my, PRP$), (steamroller, NN)]	[(i, NN), (can, MD), (knock, VB), (it, PRP), (why, WRB), (why, WRB), (be, VB), (you, PRP), (break, VB), (my, PRP$), (steamroller, NN)]	time146-cond1.txt
cgv	i thought you wanted a steamshovel	[i, thought, you, wanted, a, steamshovel]	[i, think, you, want, a, steamshovel]	[(i, NN), (thought, VBD), (you, PRP), (wanted, VBD), (a, DT), (steamshovel, NN)]	[(i, NN), (think, VBP), (you, PRP), (want, VBP), (a, DT), (steamshovel, NN)]	time146-cond1.txt
kid	i do	[i, do]	[i, do]	[(i, NNS), (do, VBP)]	[(i, NNS), (do, VBP)]	time146-cond1.txt
cgv	well it needs a lot of wheels did you make this one did you make this one	[well, it, needs, a, lot, of, wheels, did, you, make, this, one, did, you, make, this, one]	[well, it, need, a, lot, of, wheel, do, you, make, this, one, do, you, make, this, one]	[(well, RB), (it, PRP), (needs, VBZ), (a, DT), (lot, NN), (of, IN), (wheels, NNS), (did, VBD), (you, PRP), (make, VB), (this, DT), (one, CD), (did, VBD), (you, PRP), (make, VB), (this, DT), (one, CD)]	[(well, RB), (it, PRP), (need, VBP), (a, DT), (lot, NN), (of, IN), (wheel, NN), (do, VBP), (you, PRP), (make, VB), (this, DT), (one, CD), (do, VBP), (you, PRP), (make, VB), (this, DT), (one, CD)]	time146-cond1.txt
kid	no hey you know what happened at school today you know i didn't you know i just well i didn't get to talk to danny but i did talk to greggy	[no, hey, you, know, what, happened, at, school, today, you, know, i, did, not, you, know, i, just, well, i, did, not, get, to, talk, to, danny, but, i, did, talk, to, gregg]	[no, hey, you, know, what, happen, at, school, today, you, know, i, do, not, you, know, i, just, well, i, do, not, get, to, talk, to, danny, but, i, do, talk, to, gregg]	[(no, DT), (hey, NN), (you, PRP), (know, VBP), (what, WP), (happened, VBD), (at, IN), (school, NN), (today, NN), (you, PRP), (know, VBP), (i, RB), (did, VBD), (not, RB), (you, PRP), (know, VBP), (i, VB), (just, RB), (well, RB), (i, RB), (did, VBD), (not, RB), (get, VB), (to, TO), (talk, VB), (to, TO), (danny, VB), (but, CC), (i, VB), (did, VBD), (talk, VB), (to, TO), (gregg, VB)]	[(no, DT), (hey, NN), (you, PRP), (know, VBP), (what, WP), (happen, VB), (at, IN), (school, NN), (today, NN), (you, PRP), (know, VBP), (i, RB), (do, VBP), (not, RB), (you, PRP), (know, VBP), (i, VB), (just, RB), (well, RB), (i, RB), (do, VBP), (not, RB), (get, VB), (to, TO), (talk, VB), (to, TO), (danny, VB), (but, CC), (i, VB), (do, VBP), (talk, VB), (to, TO), (gregg, VB)]	time146-cond1.txt
cgv	what did he say	[what, did, he, say]	[what, do, he, say]	[(what, WP), (did, VBD), (he, PRP), (say, VB)]	[(what, WP), (do, VB), (he, PRP), (say, VB)]	time146-cond1.txt
