participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
kid	yeah put a string on this put a string on this mommy put a string on this	[yeah, put, a, string, on, this, put, a, string, on, this, mommy, put, a, string, on, this]	[yeah, put, a, string, on, this, put, a, string, on, this, mommy, put, a, string, on, this]	[(yeah, NN), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT), (mommy, NN), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT)]	[(yeah, NN), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT), (mommy, NN), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT)]	[(yeah, JJ), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT), (mommy, NN), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT)]	[(yeah, JJ), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT), (mommy, NN), (put, VBD), (a, DT), (string, NN), (on, IN), (this, DT)]	time52-cond1.txt
cgv	okay just a second	[okay, just, a, second]	[okay, just, a, second]	[(okay, NN), (just, RB), (a, DT), (second, JJ)]	[(okay, NN), (just, RB), (a, DT), (second, JJ)]	[(okay, JJ), (just, RB), (a, DT), (second, JJ)]	[(okay, JJ), (just, RB), (a, DT), (second, JJ)]	time52-cond1.txt
kid	i want ta i want ta i want ta look in here	[i, want, ta, i, want, ta, i, want, ta, look, in, here]	[i, want, ta, i, want, ta, i, want, ta, look, in, here]	[(i, NN), (want, VBP), (ta, NN), (i, NN), (want, VBP), (ta, NN), (i, NN), (want, VBP), (ta, JJ), (look, NN), (in, IN), (here, RB)]	[(i, NN), (want, VBP), (ta, NN), (i, NN), (want, VBP), (ta, NN), (i, NN), (want, VBP), (ta, JJ), (look, NN), (in, IN), (here, RB)]	[(i, LS), (want, VBP), (ta, NN), (i, FW), (want, VBP), (ta, NN), (i, FW), (want, VBP), (ta, NN), (look, NN), (in, IN), (here, RB)]	[(i, LS), (want, VBP), (ta, NN), (i, FW), (want, VBP), (ta, NN), (i, FW), (want, VBP), (ta, NN), (look, NN), (in, IN), (here, RB)]	time52-cond1.txt
cgv	okay i found the string before you did	[okay, i, found, the, string, before, you, did]	[okay, i, find, the, string, before, you, do]	[(okay, NN), (i, NN), (found, VBD), (the, DT), (string, NN), (before, IN), (you, PRP), (did, VBD)]	[(okay, NN), (i, NN), (find, VBP), (the, DT), (string, NN), (before, IN), (you, PRP), (do, VBP)]	[(okay, JJ), (i, FW), (found, VBD), (the, DT), (string, NN), (before, IN), (you, PRP), (did, VBD)]	[(okay, JJ), (i, FW), (find, VB), (the, DT), (string, NN), (before, IN), (you, PRP), (do, VBP)]	time52-cond1.txt
kid	i want some candy	[i, want, some, candy]	[i, want, some, candy]	[(i, NN), (want, VBP), (some, DT), (candy, NN)]	[(i, NN), (want, VBP), (some, DT), (candy, NN)]	[(i, LS), (want, VBP), (some, DT), (candy, NN)]	[(i, LS), (want, VBP), (some, DT), (candy, NN)]	time52-cond1.txt
cgv	no you didn't eat very much dinner here's your balloon with a string here's your balloon with a string	[no, you, did, not, eat, very, much, dinner, here, 's, your, balloon, with, a, string, here, 's, your, balloon, with, a, string]	[no, you, do, not, eat, very, much, dinner, here, 's, your, balloon, with, a, string, here, 's, your, balloon, with, a, string]	[(no, DT), (you, PRP), (did, VBD), (not, RB), (eat, VB), (very, RB), (much, JJ), (dinner, NN), (here, RB), ('s, VBZ), (your, PRP$), (balloon, NN), (with, IN), (a, DT), (string, NN), (here, RB), ('s, VBZ), (your, PRP$), (balloon, NN), (with, IN), (a, DT), (string, NN)]	[(no, DT), (you, PRP), (do, VBP), (not, RB), (eat, VB), (very, RB), (much, JJ), (dinner, NN), (here, RB), ('s, VBZ), (your, PRP$), (balloon, NN), (with, IN), (a, DT), (string, NN), (here, RB), ('s, VBZ), (your, PRP$), (balloon, NN), (with, IN), (a, DT), (string, NN)]	[(no, DT), (you, PRP), (did, VBD), (not, RB), (eat, VB), (very, RB), (much, JJ), (dinner, NN), (here, RB), ('s, VBZ), (your, PRP$), (balloon, NN), (with, IN), (a, DT), (string, NN), (here, RB), ('s, VBZ), (your, PRP$), (balloon, NN), (with, IN), (a, DT), (string, NN)]	[(no, DT), (you, PRP), (do, VBP), (not, RB), (eat, VB), (very, RB), (much, JJ), (dinner, NN), (here, RB), ('s, VBZ), (your, PRP$), (balloon, NN), (with, IN), (a, DT), (string, NN), (here, RB), ('s, VBZ), (your, PRP$), (balloon, NN), (with, IN), (a, DT), (string, NN)]	time52-cond1.txt
kid	can it go up	[can, it, go, up]	[can, it, go, up]	[(can, MD), (it, PRP), (go, VB), (up, RP)]	[(can, MD), (it, PRP), (go, VB), (up, RP)]	[(can, MD), (it, PRP), (go, VB), (up, RP)]	[(can, MD), (it, PRP), (go, VB), (up, RP)]	time52-cond1.txt
cgv	no it doesn't have any helium in it	[no, it, does, not, have, any, helium, in, it]	[no, it, do, not, have, any, helium, in, it]	[(no, DT), (it, PRP), (does, VBZ), (not, RB), (have, VB), (any, DT), (helium, NN), (in, IN), (it, PRP)]	[(no, DT), (it, PRP), (do, VBP), (not, RB), (have, VB), (any, DT), (helium, NN), (in, IN), (it, PRP)]	[(no, DT), (it, PRP), (does, VBZ), (not, RB), (have, VB), (any, DT), (helium, NNP), (in, IN), (it, PRP)]	[(no, DT), (it, PRP), (do, VBP), (not, RB), (have, VB), (any, DT), (helium, NNP), (in, IN), (it, PRP)]	time52-cond1.txt
kid	you let's go get helium	[you, let, us, go, get, helium]	[you, let, u, go, get, helium]	[(you, PRP), (let, VBP), (us, PRP), (go, VB), (get, VB), (helium, NN)]	[(you, PRP), (let, VB), (u, VB), (go, VB), (get, VB), (helium, NN)]	[(you, PRP), (let, VBP), (us, PRP), (go, VB), (get, VB), (helium, NNP)]	[(you, PRP), (let, VBP), (u, FW), (go, VB), (get, VB), (helium, NNP)]	time52-cond1.txt
cgv	it's at the microbiology place	[it, is, at, the, microbiology, place]	[it, be, at, the, microbiology, place]	[(it, PRP), (is, VBZ), (at, IN), (the, DT), (microbiology, NN), (place, NN)]	[(it, PRP), (be, VB), (at, IN), (the, DT), (microbiology, NN), (place, NN)]	[(it, PRP), (is, VBZ), (at, IN), (the, DT), (microbiology, NN), (place, NN)]	[(it, PRP), (be, VB), (at, IN), (the, DT), (microbiology, NN), (place, NN)]	time52-cond1.txt
kid	let's go get it	[let, us, go, get, it]	[let, u, go, get, it]	[(let, VB), (us, PRP), (go, VB), (get, VB), (it, PRP)]	[(let, VB), (u, PRP), (go, VB), (get, VB), (it, PRP)]	[(let, VB), (us, PRP), (go, VB), (get, VB), (it, PRP)]	[(let, VB), (u, FW), (go, VB), (get, VB), (it, PRP)]	time52-cond1.txt
cgv	it's such a hassle and it also costs money	[it, is, such, a, hassle, and, it, also, costs, money]	[it, be, such, a, hassle, and, it, also, cost, money]	[(it, PRP), (is, VBZ), (such, JJ), (a, DT), (hassle, NN), (and, CC), (it, PRP), (also, RB), (costs, VBZ), (money, NN)]	[(it, PRP), (be, VB), (such, JJ), (a, DT), (hassle, NN), (and, CC), (it, PRP), (also, RB), (cost, VBD), (money, NN)]	[(it, PRP), (is, VBZ), (such, JJ), (a, DT), (hassle, NN), (and, CC), (it, PRP), (also, RB), (costs, VBZ), (money, NN)]	[(it, PRP), (be, VB), (such, PDT), (a, DT), (hassle, NN), (and, CC), (it, PRP), (also, RB), (cost, VBD), (money, NN)]	time52-cond1.txt
kid	let's make daddy come	[let, us, make, daddy, come]	[let, u, make, daddy, come]	[(let, VB), (us, PRP), (make, VB), (daddy, JJ), (come, VB)]	[(let, VB), (u, JJ), (make, VB), (daddy, JJ), (come, VB)]	[(let, VB), (us, PRP), (make, VB), (daddy, JJ), (come, VBN)]	[(let, VB), (u, FW), (make, VBP), (daddy, JJ), (come, VBN)]	time52-cond1.txt
cgv	dad would you like to go get some helium you really think helium's neat 	[dad, would, you, like, to, go, get, some, helium, you, really, think, helium, 's, neat]	[dad, would, you, like, to, go, get, some, helium, you, really, think, helium, 's, neat]	[(dad, NN), (would, MD), (you, PRP), (like, VB), (to, TO), (go, VB), (get, VB), (some, DT), (helium, NN), (you, PRP), (really, RB), (think, VBP), (helium, NN), ('s, POS), (neat, NN)]	[(dad, NN), (would, MD), (you, PRP), (like, VB), (to, TO), (go, VB), (get, VB), (some, DT), (helium, NN), (you, PRP), (really, RB), (think, VBP), (helium, NN), ('s, POS), (neat, NN)]	[(dad, NN), (would, MD), (you, PRP), (like, VB), (to, TO), (go, VB), (get, VB), (some, DT), (helium, NNP), (you, PRP), (really, RB), (think, VBP), (helium, NNP), ('s, POS), (neat, JJ)]	[(dad, NN), (would, MD), (you, PRP), (like, VB), (to, TO), (go, VB), (get, VB), (some, DT), (helium, NNP), (you, PRP), (really, RB), (think, VBP), (helium, NNP), ('s, POS), (neat, JJ)]	time52-cond1.txt
kid	yeah i want ta put it in my balloon then go up	[yeah, i, want, ta, put, it, in, my, balloon, then, go, up]	[yeah, i, want, ta, put, it, in, my, balloon, then, go, up]	[(yeah, NN), (i, NN), (want, VBP), (ta, NN), (put, VBD), (it, PRP), (in, IN), (my, PRP$), (balloon, NN), (then, RB), (go, VB), (up, RP)]	[(yeah, NN), (i, NN), (want, VBP), (ta, NN), (put, VBD), (it, PRP), (in, IN), (my, PRP$), (balloon, NN), (then, RB), (go, VB), (up, RP)]	[(yeah, JJ), (i, FW), (want, VBP), (ta, NN), (put, VBD), (it, PRP), (in, IN), (my, PRP$), (balloon, NN), (then, RB), (go, VB), (up, RP)]	[(yeah, JJ), (i, FW), (want, VBP), (ta, NN), (put, VBD), (it, PRP), (in, IN), (my, PRP$), (balloon, NN), (then, RB), (go, VB), (up, RP)]	time52-cond1.txt
