participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
cgv	they sure are what are they	[they, sure, are, what, are, they]	[they, sure, be, what, be, they]	[(they, PRP), (sure, VBP), (are, VBP), (what, WP), (are, VBP), (they, PRP)]	[(they, PRP), (sure, RB), (be, VB), (what, WP), (be, VB), (they, PRP)]	[(they, PRP), (sure, RB), (are, VBP), (what, WP), (are, VBP), (they, PRP)]	[(they, PRP), (sure, RB), (be, VB), (what, WP), (be, VB), (they, PRP)]	time46-cond1.txt
kid	that's a witch and that's a ghost and that's a ghost and that's a ghost	[that, is, a, witch, and, that, is, a, ghost, and, that, is, a, ghost, and, that, is, a, ghost]	[that, be, a, witch, and, that, be, a, ghost, and, that, be, a, ghost, and, that, be, a, ghost]	[(that, DT), (is, VBZ), (a, DT), (witch, NN), (and, CC), (that, DT), (is, VBZ), (a, DT), (ghost, NN), (and, CC), (that, DT), (is, VBZ), (a, DT), (ghost, NN), (and, CC), (that, DT), (is, VBZ), (a, DT), (ghost, NN)]	[(that, DT), (be, VB), (a, DT), (witch, NN), (and, CC), (that, IN), (be, VB), (a, DT), (ghost, NN), (and, CC), (that, IN), (be, VB), (a, DT), (ghost, NN), (and, CC), (that, IN), (be, VB), (a, DT), (ghost, NN)]	[(that, DT), (is, VBZ), (a, DT), (witch, NN), (and, CC), (that, DT), (is, VBZ), (a, DT), (ghost, NN), (and, CC), (that, DT), (is, VBZ), (a, DT), (ghost, NN), (and, CC), (that, DT), (is, VBZ), (a, DT), (ghost, NN)]	[(that, IN), (be, VB), (a, DT), (witch, NN), (and, CC), (that, IN), (be, VB), (a, DT), (ghost, NN), (and, CC), (that, IN), (be, VB), (a, DT), (ghost, NN), (and, CC), (that, IN), (be, VB), (a, DT), (ghost, NN)]	time46-cond1.txt
cgv	 what else do you see	[what, else, do, you, see]	[what, else, do, you, see]	[(what, WP), (else, RB), (do, VBP), (you, PRP), (see, VB)]	[(what, WP), (else, RB), (do, VBP), (you, PRP), (see, VB)]	[(what, WDT), (else, RB), (do, VBP), (you, PRP), (see, VB)]	[(what, WDT), (else, RB), (do, VBP), (you, PRP), (see, VB)]	time46-cond1.txt
kid	a goblin goblins will scare you  and witches scare you and ghosts scare you these all scare you i hope	[a, goblin, goblins, will, scare, you, and, witches, scare, you, and, ghosts, scare, you, these, all, scare, you, i, hope]	[a, goblin, goblin, will, scare, you, and, witch, scare, you, and, ghost, scare, you, these, all, scare, you, i, hope]	[(a, DT), (goblin, NN), (goblins, NNS), (will, MD), (scare, VB), (you, PRP), (and, CC), (witches, NNS), (scare, VBP), (you, PRP), (and, CC), (ghosts, NNS), (scare, VBP), (you, PRP), (these, DT), (all, DT), (scare, VBP), (you, PRP), (i, VBP), (hope, VBP)]	[(a, DT), (goblin, NN), (goblin, NN), (will, MD), (scare, VB), (you, PRP), (and, CC), (witch, VB), (scare, NN), (you, PRP), (and, CC), (ghost, VB), (scare, NN), (you, PRP), (these, DT), (all, DT), (scare, VBP), (you, PRP), (i, VBP), (hope, VBP)]	[(a, DT), (goblin, NN), (goblins, NNS), (will, MD), (scare, VB), (you, PRP), (and, CC), (witches, NNS), (scare, VBP), (you, PRP), (and, CC), (ghosts, NNS), (scare, VBP), (you, PRP), (these, DT), (all, DT), (scare, NN), (you, PRP), (i, FW), (hope, NN)]	[(a, DT), (goblin, NN), (goblin, NN), (will, MD), (scare, VB), (you, PRP), (and, CC), (witch, NN), (scare, NN), (you, PRP), (and, CC), (ghost, NN), (scare, NN), (you, PRP), (these, DT), (all, DT), (scare, NN), (you, PRP), (i, FW), (hope, NN)]	time46-cond1.txt
cgv	you hope that they'll all scare me why do you hope that witches and ghosts and goblins will scare me i'm a good boy	[you, hope, that, they, will, all, scare, me, why, do, you, hope, that, witches, and, ghosts, and, goblins, will, scare, me, i, am, a, good, boy]	[you, hope, that, they, will, all, scare, me, why, do, you, hope, that, witch, and, ghost, and, goblin, will, scare, me, i, be, a, good, boy]	[(you, PRP), (hope, VBP), (that, IN), (they, PRP), (will, MD), (all, DT), (scare, VB), (me, PRP), (why, WRB), (do, VBP), (you, PRP), (hope, VB), (that, IN), (witches, NNS), (and, CC), (ghosts, NNS), (and, CC), (goblins, NNS), (will, MD), (scare, VB), (me, PRP), (i, VB), (am, VBP), (a, DT), (good, JJ), (boy, NN)]	[(you, PRP), (hope, VBP), (that, IN), (they, PRP), (will, MD), (all, DT), (scare, VB), (me, PRP), (why, WRB), (do, VBP), (you, PRP), (hope, VB), (that, IN), (witch, NN), (and, CC), (ghost, NN), (and, CC), (goblin, NN), (will, MD), (scare, VB), (me, PRP), (i, JJ), (be, VB), (a, DT), (good, JJ), (boy, NN)]	[(you, PRP), (hope, VBP), (that, IN), (they, PRP), (will, MD), (all, DT), (scare, VB), (me, PRP), (why, WRB), (do, VBP), (you, PRP), (hope, VB), (that, IN), (witches, NNS), (and, CC), (ghosts, NNS), (and, CC), (goblins, NNS), (will, MD), (scare, VB), (me, PRP), (i, FW), (am, VBP), (a, DT), (good, JJ), (boy, NN)]	[(you, PRP), (hope, VBP), (that, IN), (they, PRP), (will, MD), (all, DT), (scare, VB), (me, PRP), (why, WRB), (do, VBP), (you, PRP), (hope, VB), (that, IN), (witch, NN), (and, CC), (ghost, NN), (and, CC), (goblin, NN), (will, MD), (scare, VB), (me, PRP), (i, FW), (be, VB), (a, DT), (good, JJ), (boy, NN)]	time46-cond1.txt
kid	you are a daddy you are not a boy you are a daddy and and these will scare you	[you, are, a, daddy, you, are, not, a, boy, you, are, a, daddy, and, and, these, will, scare, you]	[you, be, a, daddy, you, be, not, a, boy, you, be, a, daddy, and, and, these, will, scare, you]	[(you, PRP), (are, VBP), (a, DT), (daddy, NN), (you, PRP), (are, VBP), (not, RB), (a, DT), (boy, NN), (you, PRP), (are, VBP), (a, DT), (daddy, NN), (and, CC), (and, CC), (these, DT), (will, MD), (scare, VB), (you, PRP)]	[(you, PRP), (be, VB), (a, DT), (daddy, NN), (you, PRP), (be, VB), (not, RB), (a, DT), (boy, NN), (you, PRP), (be, VB), (a, DT), (daddy, NN), (and, CC), (and, CC), (these, DT), (will, MD), (scare, VB), (you, PRP)]	[(you, PRP), (are, VBP), (a, DT), (daddy, NN), (you, PRP), (are, VBP), (not, RB), (a, DT), (boy, NN), (you, PRP), (are, VBP), (a, DT), (daddy, NN), (and, CC), (and, CC), (these, DT), (will, MD), (scare, VB), (you, PRP)]	[(you, PRP), (be, VB), (a, DT), (daddy, NN), (you, PRP), (be, VB), (not, RB), (a, DT), (boy, NN), (you, PRP), (be, VB), (a, DT), (daddy, NN), (and, CC), (and, CC), (these, DT), (will, MD), (scare, VB), (you, PRP)]	time46-cond1.txt
cgv	they sure would if i ever saw any are they going to scare you too	[they, sure, would, if, i, ever, saw, any, are, they, going, to, scare, you, too]	[they, sure, would, if, i, ever, saw, any, be, they, go, to, scare, you, too]	[(they, PRP), (sure, RB), (would, MD), (if, IN), (i, VB), (ever, RB), (saw, VBN), (any, DT), (are, VBP), (they, PRP), (going, VBG), (to, TO), (scare, VB), (you, PRP), (too, RB)]	[(they, PRP), (sure, RB), (would, MD), (if, IN), (i, VB), (ever, RB), (saw, VBD), (any, DT), (be, VB), (they, PRP), (go, VBP), (to, TO), (scare, VB), (you, PRP), (too, RB)]	[(they, PRP), (sure, RB), (would, MD), (if, IN), (i, FW), (ever, RB), (saw, VBD), (any, DT), (are, VBP), (they, PRP), (going, VBG), (to, TO), (scare, VB), (you, PRP), (too, RB)]	[(they, PRP), (sure, RB), (would, MD), (if, IN), (i, FW), (ever, RB), (saw, VBD), (any, DT), (be, VB), (they, PRP), (go, VBP), (to, TO), (scare, VB), (you, PRP), (too, RB)]	time46-cond1.txt
kid	yeah i am a daddy too so them scare me too	[yeah, i, am, a, daddy, too, so, them, scare, me, too]	[yeah, i, be, a, daddy, too, so, them, scare, me, too]	[(yeah, NN), (i, NN), (am, VBP), (a, DT), (daddy, NN), (too, RB), (so, RB), (them, PRP), (scare, VB), (me, PRP), (too, RB)]	[(yeah, NN), (i, NN), (be, VB), (a, DT), (daddy, JJ), (too, RB), (so, RB), (them, PRP), (scare, VB), (me, PRP), (too, RB)]	[(yeah, JJ), (i, FW), (am, VBP), (a, DT), (daddy, NN), (too, RB), (so, RB), (them, PRP), (scare, VB), (me, PRP), (too, RB)]	[(yeah, JJ), (i, FW), (be, VB), (a, DT), (daddy, NN), (too, RB), (so, RB), (them, PRP), (scare, VB), (me, PRP), (too, RB)]	time46-cond1.txt
cgv	would mommy be scared if she saw a ghost	[would, mommy, be, scared, if, she, saw, a, ghost]	[would, mommy, be, scar, if, she, saw, a, ghost]	[(would, MD), (mommy, VB), (be, VB), (scared, VBN), (if, IN), (she, PRP), (saw, VBD), (a, DT), (ghost, NN)]	[(would, MD), (mommy, VB), (be, VB), (scar, VBN), (if, IN), (she, PRP), (saw, VBD), (a, DT), (ghost, NN)]	[(would, MD), (mommy, VB), (be, VB), (scared, VBN), (if, IN), (she, PRP), (saw, VBD), (a, DT), (ghost, NN)]	[(would, MD), (mommy, VB), (be, VB), (scar, NN), (if, IN), (she, PRP), (saw, VBD), (a, DT), (ghost, NN)]	time46-cond1.txt
kid	yeah mommies mommies be scared like daddies	[yeah, mommies, mommies, be, scared, like, daddies]	[yeah, mommy, mommy, be, scar, like, daddy]	[(yeah, NN), (mommies, NNS), (mommies, NNS), (be, VB), (scared, VBN), (like, IN), (daddies, NNS)]	[(yeah, NN), (mommy, NN), (mommy, NN), (be, VB), (scar, VBN), (like, IN), (daddy, NN)]	[(yeah, JJ), (mommies, NNS), (mommies, NNS), (be, VB), (scared, VBN), (like, IN), (daddies, NNS)]	[(yeah, JJ), (mommy, NN), (mommy, NN), (be, VB), (scar, NN), (like, IN), (daddy, NN)]	time46-cond1.txt
