participant	content	token	lemma	tagged_token	tagged_lemma	file
kid	my dinosaurs wanted to see this dinosaur book	[my, dinosaurs, wanted, to, see, this, dinosaur, book]	[my, dinosaur, want, to, see, this, dinosaur, book]	[(my, PRP$), (dinosaurs, NNS), (wanted, VBD), (to, TO), (see, VB), (this, DT), (dinosaur, NN), (book, NN)]	[(my, PRP$), (dinosaur, NN), (want, VBP), (to, TO), (see, VB), (this, DT), (dinosaur, NN), (book, NN)]	time149-cond1.txt
cgv	are you showing it to them what are the prehistoric mammals doing abe are they learning anything from the dinosaurs	[are, you, showing, it, to, them, what, are, the, prehistoric, mammals, doing, abe, are, they, learning, anything, from, the, dinosaurs]	[be, you, show, it, to, them, what, be, the, prehistoric, mammal, do, abe, be, they, learn, anything, from, the, dinosaur]	[(are, VBP), (you, PRP), (showing, VBG), (it, PRP), (to, TO), (them, PRP), (what, WDT), (are, VBP), (the, DT), (prehistoric, JJ), (mammals, NNS), (doing, VBG), (abe, NNS), (are, VBP), (they, PRP), (learning, VBG), (anything, NN), (from, IN), (the, DT), (dinosaurs, NNS)]	[(be, VB), (you, PRP), (show, VBP), (it, PRP), (to, TO), (them, PRP), (what, WP), (be, VB), (the, DT), (prehistoric, JJ), (mammal, NN), (do, VBP), (abe, RB), (be, VB), (they, PRP), (learn, VBP), (anything, NN), (from, IN), (the, DT), (dinosaur, NN)]	time149-cond1.txt
kid	you mean these prehistoric monsters	[you, mean, these, prehistoric, monsters]	[you, mean, these, prehistoric, monster]	[(you, PRP), (mean, VBP), (these, DT), (prehistoric, JJ), (monsters, NNS)]	[(you, PRP), (mean, VBP), (these, DT), (prehistoric, JJ), (monster, NN)]	time149-cond1.txt
cgv	 the mammals	[the, mammals]	[the, mammal]	[(the, DT), (mammals, NNS)]	[(the, DT), (mammal, NN)]	time149-cond1.txt
kid	they're not alive they're not real	[they, are, not, alive, they, are, not, real]	[they, be, not, alive, they, be, not, real]	[(they, PRP), (are, VBP), (not, RB), (alive, JJ), (they, PRP), (are, VBP), (not, RB), (real, JJ)]	[(they, PRP), (be, VB), (not, RB), (alive, JJ), (they, PRP), (be, VB), (not, RB), (real, JJ)]	time149-cond1.txt
cgv	i know i mean in your pretending what did they learn	[i, know, i, mean, in, your, pretending, what, did, they, learn]	[i, know, i, mean, in, your, pretend, what, do, they, learn]	[(i, NN), (know, VBP), (i, JJ), (mean, VBP), (in, IN), (your, PRP$), (pretending, VBG), (what, WP), (did, VBD), (they, PRP), (learn, VB)]	[(i, NN), (know, VBP), (i, JJ), (mean, VBP), (in, IN), (your, PRP$), (pretend, NN), (what, WP), (do, VBP), (they, PRP), (learn, VB)]	time149-cond1.txt
kid	they learned about dinosaurs that are meat eaters and even my pet dinosaurs learned about meat eaters too so so what i'm not gon ta tell you you tell me our ladybug needs to eat breakfast	[they, learned, about, dinosaurs, that, are, meat, eaters, and, even, my, pet, dinosaurs, learned, about, meat, eaters, too, so, so, what, i, am, not, gon, ta, tell, you, you, tell, me, our, ladybug, needs, to, eat, breakfast]	[they, learn, about, dinosaur, that, be, meat, eater, and, even, my, pet, dinosaur, learn, about, meat, eater, too, so, so, what, i, be, not, gon, ta, tell, you, you, tell, me, our, ladybug, need, to, eat, breakfast]	[(they, PRP), (learned, VBD), (about, IN), (dinosaurs, NNS), (that, WDT), (are, VBP), (meat, JJ), (eaters, NNS), (and, CC), (even, RB), (my, PRP$), (pet, NN), (dinosaurs, NNS), (learned, VBD), (about, IN), (meat, NN), (eaters, NNS), (too, RB), (so, RB), (so, IN), (what, WP), (i, NN), (am, VBP), (not, RB), (gon, JJ), (ta, NNS), (tell, VBP), (you, PRP), (you, PRP), (tell, VBP), (me, PRP), (our, PRP$), (ladybug, NN), (needs, VBZ), (to, TO), (eat, VB), (breakfast, NN)]	[(they, PRP), (learn, VBP), (about, IN), (dinosaur, NN), (that, IN), (be, VB), (meat, JJ), (eater, NN), (and, CC), (even, RB), (my, PRP$), (pet, NN), (dinosaur, NN), (learn, VBP), (about, IN), (meat, NN), (eater, NN), (too, RB), (so, RB), (so, IN), (what, WP), (i, NN), (be, VB), (not, RB), (gon, JJ), (ta, NNS), (tell, VBP), (you, PRP), (you, PRP), (tell, VBP), (me, PRP), (our, PRP$), (ladybug, NNS), (need, VBP), (to, TO), (eat, VB), (breakfast, NN)]	time149-cond1.txt
cgv	i bet she's looking for insects	[i, bet, she, is, looking, for, insects]	[i, bet, she, be, look, for, insect]	[(i, NN), (bet, NN), (she, PRP), (is, VBZ), (looking, VBG), (for, IN), (insects, NNS)]	[(i, NN), (bet, VBD), (she, PRP), (be, VB), (look, VBN), (for, IN), (insect, NN)]	time149-cond1.txt
kid	yeah maybe she'll fly in here this is gon ta be her house okay it should be her house hey where's the roof of her house  this is the roof of her house mom since this is the roof of her house i bet she would like it mom if she doesn't like it know what we would have to do something except mommy i think we caught something	[yeah, maybe, she, will, fly, in, here, this, is, gon, ta, be, her, house, okay, it, should, be, her, house, hey, where, is, the, roof, of, her, house, this, is, the, roof, of, her, house, mom, since, this, is, the, roof, of, her, house, i, bet, she, would, like, it, mom, if, she, does, not, like, it, know, what, we, would, have, to, do, something, except, mommy, i, think, we, caught, something]	[yeah, maybe, she, will, fly, in, here, this, be, gon, ta, be, her, house, okay, it, should, be, her, house, hey, where, be, the, roof, of, her, house, this, be, the, roof, of, her, house, mom, since, this, be, the, roof, of, her, house, i, bet, she, would, like, it, mom, if, she, do, not, like, it, know, what, we, would, have, to, do, something, except, mommy, i, think, we, catch, something]	[(yeah, NN), (maybe, RB), (she, PRP), (will, MD), (fly, VB), (in, IN), (here, RB), (this, DT), (is, VBZ), (gon, JJ), (ta, RB), (be, VB), (her, PRP$), (house, NN), (okay, IN), (it, PRP), (should, MD), (be, VB), (her, PRP$), (house, NN), (hey, NN), (where, WRB), (is, VBZ), (the, DT), (roof, NN), (of, IN), (her, PRP$), (house, NN), (this, DT), (is, VBZ), (the, DT), (roof, NN), (of, IN), (her, PRP$), (house, NN), (mom, NN), (since, IN), (this, DT), (is, VBZ), (the, DT), (roof, NN), (of, IN), (her, PRP$), (house, NN), (i, NN), (bet, VBD), (she, PRP), (would, MD), (like, VB), (it, PRP), (mom, VB), (if, IN), (she, PRP), (does, VBZ), (not, RB), (like, IN), (it, PRP), (know, VBP), (what, WP), (we, PRP), (would, MD), (have, VB), (to, TO), (do, VB), (something, NN), (except, IN), (mommy, NN), (i, NN), (think, VBP), (we, PRP), (caught, VBD), (something, NN)]	[(yeah, NN), (maybe, RB), (she, PRP), (will, MD), (fly, VB), (in, IN), (here, RB), (this, DT), (be, VB), (gon, VBN), (ta, RB), (be, VB), (her, PRP$), (house, NN), (okay, IN), (it, PRP), (should, MD), (be, VB), (her, PRP$), (house, NN), (hey, NN), (where, WRB), (be, VB), (the, DT), (roof, NN), (of, IN), (her, PRP$), (house, NN), (this, DT), (be, VB), (the, DT), (roof, NN), (of, IN), (her, PRP$), (house, NN), (mom, NN), (since, IN), (this, DT), (be, VB), (the, DT), (roof, NN), (of, IN), (her, PRP$), (house, NN), (i, NN), (bet, VBD), (she, PRP), (would, MD), (like, VB), (it, PRP), (mom, VB), (if, IN), (she, PRP), (do, VBP), (not, RB), (like, IN), (it, PRP), (know, VBP), (what, WP), (we, PRP), (would, MD), (have, VB), (to, TO), (do, VB), (something, NN), (except, IN), (mommy, NN), (i, NN), (think, VBP), (we, PRP), (catch, VBP), (something, NN)]	time149-cond1.txt
cgv	what did we catch	[what, did, we, catch]	[what, do, we, catch]	[(what, WP), (did, VBD), (we, PRP), (catch, VB)]	[(what, WP), (do, VBP), (we, PRP), (catch, VB)]	time149-cond1.txt
