participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
kid	don't know	[do, not, know]	[do, not, know]	[(do, VB), (not, RB), (know, VB)]	[(do, VB), (not, RB), (know, VB)]	[(do, VB), (not, RB), (know, VB)]	[(do, VB), (not, RB), (know, VB)]	time16-cond1.txt
cgv	okay here it is what is it abe	[okay, here, it, is, what, is, it, abe]	[okay, here, it, be, what, be, it, abe]	[(okay, RB), (here, RB), (it, PRP), (is, VBZ), (what, WP), (is, VBZ), (it, PRP), (abe, RP)]	[(okay, RB), (here, RB), (it, PRP), (be, VB), (what, WP), (be, VB), (it, PRP), (abe, VB)]	[(okay, JJ), (here, RB), (it, PRP), (is, VBZ), (what, WP), (is, VBZ), (it, PRP), (abe, NN)]	[(okay, JJ), (here, RB), (it, PRP), (be, VB), (what, WP), (be, VB), (it, PRP), (abe, IN)]	time16-cond1.txt
kid	my present this present is mine	[my, present, this, present, is, mine]	[my, present, this, present, be, mine]	[(my, PRP$), (present, JJ), (this, DT), (present, JJ), (is, VBZ), (mine, JJ)]	[(my, PRP$), (present, JJ), (this, DT), (present, JJ), (be, VB), (mine, JJ)]	[(my, PRP$), (present, JJ), (this, DT), (present, JJ), (is, VBZ), (mine, NN)]	[(my, PRP$), (present, JJ), (this, DT), (present, JJ), (be, VB), (mine, PRP)]	time16-cond1.txt
cgv	did you tell daddy thank you you're welcome do you like the puzzle  let's say the rhyme	[did, you, tell, daddy, thank, you, you, are, welcome, do, you, like, the, puzzle, let, us, say, the, rhyme]	[do, you, tell, daddy, thank, you, you, be, welcome, do, you, like, the, puzzle, let, u, say, the, rhyme]	[(did, VBD), (you, PRP), (tell, VB), (daddy, VB), (thank, NN), (you, PRP), (you, PRP), (are, VBP), (welcome, JJ), (do, VBP), (you, PRP), (like, IN), (the, DT), (puzzle, NN), (let, VBD), (us, PRP), (say, VB), (the, DT), (rhyme, NN)]	[(do, VB), (you, PRP), (tell, VB), (daddy, VB), (thank, NN), (you, PRP), (you, PRP), (be, VB), (welcome, VBN), (do, VBP), (you, PRP), (like, IN), (the, DT), (puzzle, NN), (let, NN), (u, JJ), (say, VB), (the, DT), (rhyme, NN)]	[(did, VBD), (you, PRP), (tell, VBP), (daddy, JJ), (thank, VB), (you, PRP), (you, PRP), (are, VBP), (welcome, JJ), (do, VBP), (you, PRP), (like, IN), (the, DT), (puzzle, NN), (let, VB), (us, PRP), (say, VB), (the, DT), (rhyme, NN)]	[(do, VB), (you, PRP), (tell, VB), (daddy, JJ), (thank, VB), (you, PRP), (you, PRP), (be, VB), (welcome, JJ), (do, VBP), (you, PRP), (like, IN), (the, DT), (puzzle, NN), (let, VB), (u, FW), (say, VBP), (the, DT), (rhyme, NN)]	time16-cond1.txt
kid	want ta cow	[want, ta, cow]	[want, ta, cow]	[(want, JJ), (ta, NN), (cow, NN)]	[(want, JJ), (ta, NN), (cow, NN)]	[(want, VB), (ta, NN), (cow, NN)]	[(want, VB), (ta, NN), (cow, NN)]	time16-cond1.txt
cgv	okay let's say hey diddle diddle	[okay, let, us, say, hey, middle, middle]	[okay, let, u, say, hey, middle, middle]	[(okay, JJ), (let, VB), (us, PRP), (say, VB), (hey, NN), (middle, FW), (middle, NN)]	[(okay, JJ), (let, NN), (u, NNS), (say, VBP), (hey, JJ), (middle, VBP), (middle, JJ)]	[(okay, JJ), (let, VB), (us, PRP), (say, VB), (hey, NN), (middle, JJ), (middle, NN)]	[(okay, JJ), (let, VB), (u, FW), (say, VBP), (hey, NN), (middle, JJ), (middle, NN)]	time16-cond1.txt
kid	this go here	[this, go, here]	[this, go, here]	[(this, DT), (go, NN), (here, RB)]	[(this, DT), (go, NN), (here, RB)]	[(this, DT), (go, NN), (here, RB)]	[(this, DT), (go, NN), (here, RB)]	time16-cond1.txt
cgv	does that look like the right one go ahead and try it	[does, that, look, like, the, right, one, go, ahead, and, try, it]	[do, that, look, like, the, right, one, go, ahead, and, try, it]	[(does, VBZ), (that, IN), (look, VB), (like, IN), (the, DT), (right, NN), (one, CD), (go, NN), (ahead, RB), (and, CC), (try, VB), (it, PRP)]	[(do, VBP), (that, DT), (look, NN), (like, IN), (the, DT), (right, NN), (one, CD), (go, NN), (ahead, RB), (and, CC), (try, VB), (it, PRP)]	[(does, VBZ), (that, IN), (look, NN), (like, IN), (the, DT), (right, JJ), (one, CD), (go, VBP), (ahead, RB), (and, CC), (try, VB), (it, PRP)]	[(do, VB), (that, DT), (look, NN), (like, IN), (the, DT), (right, JJ), (one, CD), (go, VBP), (ahead, RB), (and, CC), (try, VB), (it, PRP)]	time16-cond1.txt
kid	it doesn't fit	[it, does, not, fit]	[it, do, not, fit]	[(it, PRP), (does, VBZ), (not, RB), (fit, VB)]	[(it, PRP), (do, VBP), (not, RB), (fit, VB)]	[(it, PRP), (does, VBZ), (not, RB), (fit, VB)]	[(it, PRP), (do, VBP), (not, RB), (fit, VB)]	time16-cond1.txt
cgv	it must be the wrong one 	[it, must, be, the, wrong, one]	[it, must, be, the, wrong, one]	[(it, PRP), (must, MD), (be, VB), (the, DT), (wrong, JJ), (one, NN)]	[(it, PRP), (must, MD), (be, VB), (the, DT), (wrong, JJ), (one, NN)]	[(it, PRP), (must, MD), (be, VB), (the, DT), (wrong, JJ), (one, CD)]	[(it, PRP), (must, MD), (be, VB), (the, DT), (wrong, JJ), (one, CD)]	time16-cond1.txt
kid	 this one worked	[this, one, worked]	[this, one, work]	[(this, DT), (one, CD), (worked, VBD)]	[(this, DT), (one, CD), (work, NN)]	[(this, DT), (one, CD), (worked, VBD)]	[(this, DT), (one, CD), (work, NN)]	time16-cond1.txt
cgv	 that was the right one where does this one go	[that, was, the, right, one, where, does, this, one, go]	[that, be, the, right, one, where, do, this, one, go]	[(that, DT), (was, VBD), (the, DT), (right, JJ), (one, CD), (where, WRB), (does, VBZ), (this, DT), (one, CD), (go, NN)]	[(that, DT), (be, VB), (the, DT), (right, JJ), (one, CD), (where, WRB), (do, VB), (this, DT), (one, CD), (go, NN)]	[(that, DT), (was, VBD), (the, DT), (right, JJ), (one, CD), (where, WRB), (does, VBZ), (this, DT), (one, CD), (go, NN)]	[(that, IN), (be, VB), (the, DT), (right, JJ), (one, CD), (where, WRB), (do, VBP), (this, DT), (one, CD), (go, NN)]	time16-cond1.txt
kid	i don't know	[i, do, not, know]	[i, do, not, know]	[(i, NNS), (do, VBP), (not, RB), (know, VB)]	[(i, NNS), (do, VBP), (not, RB), (know, VB)]	[(i, LS), (do, VBP), (not, RB), (know, VB)]	[(i, LS), (do, VBP), (not, RB), (know, VB)]	time16-cond1.txt
cgv	look and see if you can find the right hole	[look, and, see, if, you, can, find, the, right, hole]	[look, and, see, if, you, can, find, the, right, hole]	[(look, NN), (and, CC), (see, VB), (if, IN), (you, PRP), (can, MD), (find, VB), (the, DT), (right, JJ), (hole, NN)]	[(look, NN), (and, CC), (see, VB), (if, IN), (you, PRP), (can, MD), (find, VB), (the, DT), (right, JJ), (hole, NN)]	[(look, NN), (and, CC), (see, VB), (if, IN), (you, PRP), (can, MD), (find, VB), (the, DT), (right, JJ), (hole, NN)]	[(look, NN), (and, CC), (see, VB), (if, IN), (you, PRP), (can, MD), (find, VB), (the, DT), (right, JJ), (hole, NN)]	time16-cond1.txt
kid	i find it and i put it in	[i, find, it, and, i, put, it, in]	[i, find, it, and, i, put, it, in]	[(i, NN), (find, VBP), (it, PRP), (and, CC), (i, VB), (put, VBP), (it, PRP), (in, IN)]	[(i, NN), (find, VBP), (it, PRP), (and, CC), (i, VB), (put, VBP), (it, PRP), (in, IN)]	[(i, LS), (find, VB), (it, PRP), (and, CC), (i, FW), (put, VBN), (it, PRP), (in, IN)]	[(i, LS), (find, VB), (it, PRP), (and, CC), (i, FW), (put, VBN), (it, PRP), (in, IN)]	time16-cond1.txt
cgv	 try this one	[try, this, one]	[try, this, one]	[(try, VB), (this, DT), (one, CD)]	[(try, VB), (this, DT), (one, CD)]	[(try, VB), (this, DT), (one, CD)]	[(try, VB), (this, DT), (one, CD)]	time16-cond1.txt
kid	little miss muffet	[little, miss, buffet]	[little, miss, buffet]	[(little, JJ), (miss, JJ), (buffet, NN)]	[(little, JJ), (miss, JJ), (buffet, NN)]	[(little, RB), (miss, VBP), (buffet, NN)]	[(little, RB), (miss, VBP), (buffet, NN)]	time16-cond1.txt
cgv	 who is this	[who, is, this]	[who, be, this]	[(who, WP), (is, VBZ), (this, DT)]	[(who, WP), (be, VB), (this, DT)]	[(who, WP), (is, VBZ), (this, DT)]	[(who, WP), (be, VB), (this, DT)]	time16-cond1.txt
kid	this is jack and jill i put it in	[this, is, jack, and, jill, i, put, it, in]	[this, be, jack, and, jill, i, put, it, in]	[(this, DT), (is, VBZ), (jack, NN), (and, CC), (jill, NN), (i, NN), (put, VBD), (it, PRP), (in, IN)]	[(this, DT), (be, VB), (jack, NN), (and, CC), (jill, NN), (i, NN), (put, VBD), (it, PRP), (in, IN)]	[(this, DT), (is, VBZ), (jack, NN), (and, CC), (jill, NN), (i, FW), (put, VB), (it, PRP), (in, IN)]	[(this, DT), (be, VB), (jack, NN), (and, CC), (jill, NN), (i, FW), (put, VB), (it, PRP), (in, IN)]	time16-cond1.txt
