participant	content
cgv	okay.
kid	I'm sitting over here.
cgv	okay let's see what all we have to do why are you so far back.
kid	because I want to.
cgv	wouldn't it be nice to have a big house Abe.
cgv	with a +....
kid	with what.
cgv	you could have your own room with a big chalk+board to draw on.
cgv	Abe put this up.
kid	where should I put it.
cgv	I don't know.
kid	I'm gon (t)a keep it where I keep my guys.
cgv	that's a good idea.
kid	do you need some more chalk.
cgv	do you have some.
kid	yeah.
cgv	okay give it to me.
kid	look at this Mommy I really like it it's shiny I didn't know Chinese people made things this shiny they must be lucky.
cgv	it was made in Japan not China.
kid	oh.
cgv	Abe do you remember what all you did yesterday.
cgv	see if you can tell me what all you did yesterday.
kid	we played the new games we fixed the wagon and we opened gifts.
cgv	uhhuh anything else.
kid	no oh yeah we played with Evel Knievel.
cgv	uhhuh.
kid	that's all that I remember.
cgv	what about our dinner.
kid	oh yeah we ate dinner turkey and stuff Dad put this on the saddle goes on first.
cgv	okay give me the stuff.
kid	Mom the Jack Dempsey ate good today he was going real slow but he did eat.
cgv	good which one was the Jack Dempsey.
cgv	I forgot.
kid	he was the one that wasn't eating very much.
cgv	oh.
kid	Dad here's the other stirrup over here in the bag.
cgv	you've got the Lone Ranger's boots on right.
kid	right.
cgv	do you know what this is.
kid	I don't know what that is.
cgv	me either.
kid	Mom I can't see my crayon box.
cgv	it's on the shelf.
kid	you get it I can't see it.
cgv	look right on that shelf.
kid	where.
kid	which part.
cgv	where this container was.
kid	not crayons.
cgv	that white box.
kid	that has crayons in.
cgv	yeah.
cgv	here's the Lone Ranger.
kid	hey his eyes could be blue I didn't see his eyes are blue.
cgv	Abe.
kid	what.
cgv	I think we need another stirrup.
kid	I'll look for it I think it's over here is this a stirrup.
cgv	uhhuh.
kid	is this a stirrup.
kid	no Mommy is there a stirrup over there.
cgv	I don't see it.
kid	Mommy remember that nose that I made.
cgv	it was beautiful.
kid	man this is really hard I can't find that stirrup.
cgv	why don't we put these sea+shells with our other ones.
kid	okay.
cgv	can you get the jar down.
cgv	or is it too high up.
kid	it's not too high up but I'm waiting for Silver to get ready.
cgv	you can get it while Dad's fixing Silver.
kid	here's the stirrup.
cgv	good.
kid	here catch.
cgv	okay I got it.
kid	it was under here that's why it didn't take long to find.
cgv	oh.
cgv	Abe could you bring me the shells.
kid	okay Daddy if you need the stirrups here are the stirrups.
cgv	okay.
kid	Daddy can I move this first.
cgv	sure you almost have to don't you.
kid	uhhuh.
cgv	thanks Abe we have guite quite] a shell collection don't we.
kid	uhhuh Mom on this book the Indian on this book is the Indian on Mac Murphy.
cgv	he looks just exactly like it doesn't he.
kid	uhhuh Mommy can I have something for the eye.
cgv	did you poke your eyeball.
kid	uhhuh Daddy here's the stirrup.
cgv	how'd you poke your eye.
cgv	with the mobile.
kid	no that didn't poke it this did.
cgv	oh.
cgv	can you see.
kid	not too good.
cgv	I guess that we can't go see Snow White then.
kid	we could too.
cgv	you can't see.
kid	I could see I'm just doing this so my eye'll get better.
cgv	oh.
kid	this is probably for Silver who is it for Daddy.
cgv	Silver.
kid	Mommy can I have a hankie too.
kid	Daddy see I can see where the hankies are I mean the kleenexes.
cgv	here you go.
kid	I already got one and I already blew my nose Dad I'm already better see.
cgv	thank goodness.
kid	see.
kid	so we could go see Snow White.
cgv	okay you've convinced me.
kid	why don't we let Mommy tie it.
cgv	tie what.
kid	tie the things for Silver.
cgv	why.
cgv	I'm doing a good job.
kid	I think that knot's that knot's too loose.
cgv	oh yeah okay Mommy can do that one then.
kid	Mom can tie knots better tighter now we need the stirrups.
cgv	where are they.
kid	here's one and here's the other.
cgv	let me see.
kid	oh boy you dropped it again Dad what's that for.
kid	what is that for.
kid	hey.
kid	where is the Lone Ranger.
kid	where is the Lone Ranger.
kid	oh here he is blue eyes hey Momma.
kid	the Lone Ranger's hands are plastic and he still has kungfu grip.
cgv	wow.
cgv	what kind of hands does G_I_Joe have.
kid	kungfu grip.
cgv	what are they made of.
kid	some of them are rubber for G_I_Joe with kungfu grip and some of them are plastic for the G_I_Joe kungfu grip.
cgv	oh.
kid	hey Momma they are pretending they're stuck they really are stuck that's why.
cgv	oh.
kid	look.
cgv	they're little snaps.
kid	did you break something.
cgv	yeah.
kid	what did you break.
cgv	nothing really.
cgv	hi oh Silver.
kid	no not yet he's not ready Mom would you turn this back on.
cgv	what.
kid	this I wan(t) (t)a put this record on.
cgv	okay.
kid	hey that's the silver where did you find this.
cgv	on the floor they go on Silver's saddle.
kid	yeah (be)cause they're diamonds hey they also have bullets hey Momma.
cgv	what.
kid	his tail is rubber.
cgv	yeah he can move it back and forth.
kid	some of these designs match the designs on his saddle see.
cgv	yeah.
kid	does this have a story without Tonto.
cgv	I don't think so.
kid	what if we don't let them be friends yet.
cgv	it's up to you.
kid	let's pretend they didn't become friends yet I wan(t) (t)a pretend they didn't even meet where's his horse.
kid	hey.
kid	you could see his teeth somebody knocked the Lone Ranger unconscious.
cgv	why would they do that.
kid	because they're having a war see they're having a fight and the Lone Ranger winned@n.
cgv	oh even though he was knocked unconscious.
kid	uhhuh.
