participant	content
cgv	you didn't.
kid	no so I said +"/..
kid	+" that must be a monster.
cgv	you thought I was a monster.
kid	yeah and also Mommy I thought Mommy was a monster and you too look it all the pies you could get out look it all the pies look it all the pies you could do it you could do it you could do it.
cgv	did you eat all your toast so we could work on it.
kid	yeah I don't think so Momma now I eat it all.
cgv	okay are you through with your yogurt.
kid	yeah look one of the Seven Dwarfs.
cgv	which one do you think he is.
kid	Sneezy.
cgv	Sneezy.
kid	I don't know what he is which one he is.
cgv	he looks like Sneezy.
kid	(ex)cept he whistles so he must be Whistley let's do it now.
cgv	okay first of all we have to clear off the table so we'll have a place to do it.
kid	look it [?] all the green spots.
cgv	green.
kid	I don't think so I was wrong one two three four five six seven hey hey we can't do seven there's only one two three four five and one two three four five and no more know what.
kid	this can't come off this can't come off Mommy.
cgv	just a second I'll help you.
kid	no I don't need any help.
cgv	you don't.
kid	no I don't think so.
cgv	what are you going to try to do.
kid	I'm just trying to look through this so I can see any more of him no I don't see him hey.
cgv	don't rip em up.
kid	how come.
cgv	because then we'll have to get tape and tape em down.
kid	know what.
kid	know what.
kid	I wan(t) (t)a see what does uh what's under there.
cgv	the little lines are under there.
kid	huh.
cgv	the little lines are under there.
kid	know what.
kid	it's coming off.
cgv	do you want me to help.
kid	yeah no just with this one.
cgv	with that pie.
kid	yeah.
cgv	okay.
kid	know what.
kid	my thumbs are so little.
cgv	well that's okay your hands will grow and the rest of your body will grow.
kid	and my wrists and my arms and then I'll be a tall giant and then I will see how big I am then I will die I will die if I'm as tall a giant is.
cgv	then you'll die.
kid	yeah if I'm taller and taller and taller and tallest.
cgv	would you be able to find clothes to wear.
kid	giants giants don't wear clothes.
cgv	oh.
kid	Momma I love you.
cgv	I love you Abe.
kid	I didn't say +"/..
kid	+" come on.
cgv	I know what do you mean when you say come on.
kid	because I love you.
cgv	because sometimes I say +"/..
cgv	+" come on let's be friends.
cgv	so you say +"/..
cgv	+" come on I love you.
kid	yeah I said +"/..
kid	+" Mommy I love you.
kid	and you said +"/..
kid	+" well thank you Abe.
cgv	oh.
kid	know what.
kid	I haven't had a paper net before.
cgv	you haven't.
kid	no I really like my paper net know what.
kid	if you get tired uh if you're through paddling you could fish with this net.
cgv	I could use that net when we go canoeing.
kid	yeah.
cgv	that sounds like a really good idea.
kid	get these to me okay.
cgv	okay.
kid	get these to me get these to me get these to me did the newspaper come.
cgv	no it comes tomorrow on Sunday.
kid	hey you forgot something.
cgv	what.
kid	you forgot to get one of those things.
cgv	a Kleenex.
kid	yeah.
cgv	to blot it.
kid	yeah.
cgv	why are you going to use a Kleenex.
kid	because we don't have anything else see.
kid	I blotted it.
cgv	uhhuh I think that you've blotted it enough.
kid	shlom@c shlom@c do you know what shlom@c is.
cgv	no.
kid	it's a thing that crawls and crawls like a potato and it crawls and it crawls so fast it was a funny dinosaur.
cgv	oh.
kid	I was dreaming about a shlom@c.
cgv	last night.
kid	uhhuh oh dear.
cgv	I think that you're leaving them in the water too long and all the glue's coming off don't leave it in the water so long okay.
kid	get some tape more tape get one more piece of tape no get three pieces three pieces of tape get me three pieces of tape.
cgv	okay but don't leave the stickers in the water so long and we won't need to tape em okay.
kid	and one more.
cgv	no I think that's enough see it stayed on.
kid	does this need to blotted.
cgv	uhhuh.
kid	oh and not any of this one.
kid	this one.
cgv	no that doesn't need to be blotted it doesn't have any excess water does it.
kid	uh uh know what.
kid	you almost ripped it I need to blot it.
cgv	uhhuh.
kid	get it to me get it to me get it to me hey where does this umbrella go.
cgv	look and see that's right.
kid	hey it can't stick on.
cgv	why.
kid	because it has has some glue (ex)cept it can't stick on.
cgv	probably because you forgot to do something.
kid	what.
cgv	you tell me.
kid	paste it.
cgv	no what about putting it in the bowl.
