participant	content
cgv	you don't want it.
kid	uhuh.
cgv	okay go ahead and put it down.
kid	don't want a spotted one I don't want a spotted one Mama.
cgv	you don't want a spotted one.
kid	uhuh.
cgv	you know what.
cgv	they all taste the same are you tired.
kid	no I just rub my eyes.
cgv	you rubbed your eyes.
kid	uhhuh there's dust in my eyes.
cgv	there was dust in them.
kid	uhhuh I don't want this one.
cgv	okay you don't have to eat it.
kid	Mama you need this.
cgv	uhhuh I'll put it in the banana bread.
kid	need this Mom.
cgv	uhhuh.
kid	and this.
cgv	uhhuh.
kid	you chopping it up Mom.
cgv	I'm mashing it up.
kid	you mashing it up.
kid	what's down there Mom.
kid	what's down there.
cgv	down the side of the stove.
kid	no in there.
cgv	in these bananas.
kid	in there what's in it Mom.
cgv	in what Abe.
cgv	show me.
kid	I there.
cgv	those are bananas.
kid	you show me.
cgv	see these are bananas they're all smashed up.
kid	that tea Mom.
kid	that tea for my daddy.
cgv	uhhuh Daddy made some tea.
kid	my daddy got it.
cgv	uhhuh.
kid	Momma who making banana bread.
kid	that banana that banana and that banana.
cgv	all of those are bananas alright you know what else we need.
kid	oatmeal.
cgv	no we don't put oatmeal into banana bread.
kid	momma butter please momma butter butter please.
cgv	you don't need any butter you can lick this instead.
kid	I don't like this momma I like butter I wan(t) (t)a lick this butter Mom I didn't like this Mom.
cgv	why don't you like it.
kid	it's it's yucky.
cgv	you know what.
cgv	it tastes the same as this.
kid	I wan(t) (t)a lick your beater.
cgv	you wan(t) (t)a lick the beater when I'm through.
kid	uhhuh.
cgv	okay.
kid	Momma that's a banana.
cgv	that's right.
kid	Momma we put nut in.
cgv	nuts.
kid	uhhuh.
cgv	no we don't have any nuts.
kid	sugar.
cgv	uhhuh.
kid	Momma we have beaters.
kid	Mama we have sugar.
cgv	I'm getting the sugar.
kid	that's not sugar is that sugar Momma.
cgv	let me see.
kid	I'm too high Mom I can reach the sewing machine I'm high.
cgv	you're tall alright I'm blending the eggs the sugar and the butter.
kid	you're beating this in Mom.
kid	in banana bread.
cgv	uhhuh I use shortening see how creamy this is getting.
kid	uhhuh.
cgv	now we add bananas.
kid	bananas.
cgv	and milk.
kid	milk.
cgv	see how much milk.
kid	uhhuh momma I don't want any more milk don't want any more milk.
cgv	you don't want any more milk today.
kid	uhuh today don't want some.
cgv	okay it's up to you.
kid	what's in there.
kid	what's in there Mom.
cgv	in there.
kid	uhhuh me hot Mom me hot Momma that's flour down there.
cgv	uhhuh for banana bread.
kid	I can watch it Mom.
cgv	you can.
kid	uhhuh.
cgv	we still need to add some more ingredients let's see we need baking soda.
kid	Momma it's longest it's longest what's that.
kid	baking soda.
cgv	uhhuh it's baking soda.
kid	Momma where baking soda.
cgv	here it is.
kid	baking soda Mama where the baking powder.
cgv	this recipe doesn't call for baking powder.
kid	oh this recipe didn't have baking powder.
cgv	uhhuh.
kid	Momma that's getting done.
cgv	almost.
kid	Momma it's tall like a snow beard.
cgv	like a what.
kid	snow beard snow beard.
cgv	okay now we have to mix.
kid	it up Momma you done.
kid	Momma you done.
cgv	Dad did you want one.
cgv	what.
cgv	a beater.
cgv	uhhuh I'll take one.
kid	this mine.
cgv	uhhuh.
kid	Mommy you done.
cgv	yep just about.
kid	Momma I'm not Jiminy Cricket.
cgv	you'(re) not Jiminy Cricket.
kid	uhuh.
cgv	who are you.
kid	I'm Abe.
cgv	Abe who.
kid	Abe Duncan.
cgv	where do you live.
kid	I don't know at my house at my house what's that Mom.
cgv	that's strainer did you wan(t) (t)a lick the bowl.
kid	I want to lick the bowl too.
cgv	okay we'll lick it together.
kid	don't burn me again Mom.
cgv	you're the one who burned yourself last time Abe I warned you not to touch the hot pan.
kid	I cried right.
cgv	you sure did.
kid	don't burn me (a)nother banana bread.
cgv	don't worry I won't burn you.
kid	Momma you get this Mom.
cgv	okay I'm going to lick it.
kid	let me lick it too.
cgv	we're going to both lick it okay do you want to use this or your finger.
kid	use this.
cgv	okay you use that and Daddy'll use his finger.
kid	what's this.
kid	what's this Mom.
cgv	that's a button Abe.
kid	what for Mom.
kid	what for Mom.
kid	Momma what for.
cgv	it's just a button Abe.
kid	oh Momma this is for Lou and Elliot.
cgv	uhhuh.
kid	Mommy bird.
kid	you turn it off.
cgv	no I turned it down.
kid	turn it down and I didn't get cold.
cgv	you didn't.
kid	uhuh I'm cold and you turn it down.
cgv	oh.
kid	he's here Abe here.
cgv	are you ready to go outside.
kid	I'm a bear Mom Momma I wan(t) (t)a go Momma I wan(t) (t)a go Texas I wan(t) (t)a go in Texas Mom.
cgv	we will one of these days.
kid	I wan(t) (t)a get up I wan(t) (t)a get up I wan(t) (t)a get up Mom.
cgv	okay I'll get you up.
kid	Momma I wan(t) (t)a go Pennsylvania.
cgv	you wan(t) (t)a go to Pennsylvania.
kid	I wan(t) (t)a go now.
cgv	you want to go now.
kid	uhhuh.
cgv	who's in Pennsylvania.
kid	hippos in Pennsylvania hippos in Pennsylvania I wan(t) (t)a go see hippos in Pennsylvania.
cgv	you wan(t) (t)a see hippos in Pennsylvania.
kid	uhhuh.
cgv	who told you there were hippos in Pennsylvania.
kid	I wan(t) (t)a hear that.
cgv	you do.
kid	uhhuh I wan(t) (t)a hear it now.
cgv	okay just a second.
kid	it's my turn it's not my dad's.
cgv	oh it's your turn to play with the tape recorder huh.
kid	uhhuh Daddy I wan(t) (t)a do that.
cgv	you wan(t) (t)a hear the tape recorder.
kid	uhhuh me do that.
cgv	okay just a second.
