participant	content
kid	I like this I like mine I like mine puzzle I like mine little tiny puzzle.
cgv	what are you doing Abe.
kid	I like this my puzzle.
cgv	you like that puzzle.
kid	uhhuh I like what's that thing.
kid	what's that thing.
cgv	that's a book.
kid	and that thing.
cgv	oh that that goes on the microphone.
cgv	you know what Abe.
kid	uhhuh.
cgv	we're going to go to Texas.
kid	and me Daddy coming.
cgv	uhhuh we're all going together.
kid	Momma we going at Texas at Minnehaha many waterfalls.
cgv	you want to go to Minnehaha's waterfall before we go to Texas.
kid	no uhhuh Mommy.
cgv	you would.
kid	uhhuh get my Mickey Mouse hat get my Mickey Mouse hat on.
cgv	go get it.
kid	Mickey Mouse Mickey Mouse mine Mickey Mouse hat.
cgv	do you like Mickey Mouse.
kid	uhhuh I did like him and he got a beautiful nose.
cgv	do you want to dance like Mickey Mouse.
kid	huh.
cgv	do you want to dance like Mickey Mouse danced.
kid	no Mommy he talked Mommy.
cgv	what.
kid	Mickey Mouse talked.
cgv	did he talk.
kid	I don't know Mom we seed him.
cgv	what Abe.
kid	we goed@n at Mickey Mouse we because we goed@n see Mickey Mouse.
cgv	yeah we went to see him.
kid	we goed@n see him now because we goed@n see Mickey Mouse.
cgv	no we only get to see him once we can't go see him again not today anyway.
cgv	Abe.
kid	what Daddy.
cgv	guess what we might do when we go to Texas.
kid	I don't know.
cgv	I think that we might go to Six Flags.
kid	I didn't see him.
cgv	you didn't see Six Flags.
kid	hunhunh.
cgv	do you know what Six Flags is.
kid	uhhuh.
cgv	what is it.
kid	I don't know.
cgv	it has rides in it.
kid	uhhuh.
cgv	it's got animals.
kid	uhhuh.
cgv	it's got hmm what else does it have.
kid	why's it got animals in in in Texas.
cgv	uhhuh.
kid	why Daddy.
cgv	why does it have animals.
kid	uhhuh.
cgv	it has animals because well so that we can pet them.
kid	oh why Daddy.
cgv	why.
kid	uhhuh.
cgv	because it's Six Flags it's like the zoo.
kid	why.
cgv	maybe we'll go to the zoo too.
kid	why.
cgv	why what Abe.
kid	why are we going at that zoo.
cgv	we'll see don't you want to go to Texas.
kid	oh I do.
cgv	who will we see in Texas.
kid	cows.
cgv	cows.
kid	uhhuh.
cgv	what else.
kid	Minnie Mouse.
cgv	Minnie Mouse.
kid	Donald Duck and Goofy and a zebra.
cgv	oh.
kid	we saw Mickey Mouse and Donald Duck and Pluto.
cgv	you saw Mickey Mouse and Donald Duck and Pluto.
kid	and and Leslie down there.
cgv	you saw what.
kid	Leslie.
cgv	you saw Leslie.
kid	uhhuh.
cgv	Abe who lives in Texas that you want to see.
kid	Minnie Mouse.
cgv	Minnie Mouse.
kid	uhhuh.
cgv	who else.
kid	Donald Duck.
cgv	Donald Duck.
kid	uhhuh.
cgv	who else.
kid	Pluto.
cgv	uhhuh Pluto who else.
kid	Mickey Mouse and I.
cgv	Mickey Mouse and who.
kid	I uhhuh.
cgv	who's I.
kid	me and you.
cgv	oh I is me and you huh.
kid	you is food for Mickey Mouse.
cgv	I am not.
kid	you are food.
cgv	you are food.
kid	no I'm not you are food.
cgv	Abe look what Daddy found on your chair.
kid	what's that Mommy.
cgv	look.
kid	what is it.
kid	that is it.
cgv	what do you think it is.
kid	gumdrop.
cgv	is that a gumdrop.
cgv	it doesn't taste like a gumdrop does it.
kid	no.
cgv	how long do you think those m_and_m's were on your chair.
kid	I don't know.
cgv	do you think they were there this morning.
kid	uhhuh.
cgv	oh and you and Lisa and Greggy played here all day and didn't see them.
kid	uhuh.
cgv	why don't you go look for some more.
cgv	where might be some in between Daddy's toes.
kid	what's that Dad.
cgv	a callous.
kid	get it off Dad.
cgv	okay I'll take it off oops it fell off.
kid	where's it.
kid	where is it.
kid	where is it.
cgv	I don't know somewhere on the floor I suppose.
kid	I want another one.
cgv	you want another one.
kid	uhhuh.
cgv	tell you what.
kid	uhhuh.
cgv	you tell me what you did today and I'll see if I can find some what did you do today.
kid	went to see Mickey Mouse.
cgv	what kind of ice cream did you get.
kid	I don't know.
cgv	yes you do what kind did you get.
kid	brown.
cgv	uhhuh Brown chocolate what kind did Lisa get.
kid	brown chocolate.
cgv	Abe what else happened at Mickey Mouse.
kid	I goed@n see brown chocolate.
cgv	what else happened Abe.
kid	I don't know Mommy Mommy I want another one.
cgv	I don't think Dad's found another one yet come here and let me see what you got.
kid	here.
cgv	oh do you see the numbers on there.
kid	uhhuh I didn't see them on there Momma know what I like to do make a choo+choo train down and up to you.
cgv	up to my chin.
kid	uhhuh.
cgv	that'd be a long way to go wouldn't it.
kid	uhhuh Mommy what's that Mom.
cgv	numbers.
kid	what's you Mom what you making with me puzzle.
cgv	see green's going sideways.
kid	and green going that way.
cgv	uhhuh.
kid	I wan(t) (t)a go right now Mom.
cgv	where do you want to go.
kid	I wan(t) (t)a go at at at at Texas.
cgv	hey what are we going to see in Texas.
kid	we'll see cows.
cgv	who's going to have cows.
kid	Texas have cows.
cgv	is that cattle country.
kid	uhhuh cattle.
cgv	who are we going to see in Texas.
kid	Mickey.
cgv	how about Aunt Terry.
kid	uhhuh aunt Terry where aunt Terry at.
cgv	Terry's in Texas.
kid	where Aunt Terry at Mom.
cgv	Terry's in Texas.
kid	where's Aunt Terry at.
cgv	she's at Ninny's@f house.
kid	we going at there again.
cgv	to Ninny's@f house.
kid	uhhuh.
cgv	uhhuh.
kid	why Mommy.
cgv	so we can visit her.
kid	we going right now.
cgv	no we're going in a week.
kid	Mommy we going see cows there.
cgv	huh.
kid	we going see cows there.
cgv	uhhuh and maybe we'll go to Austin.
kid	Austin.
kid	I hit you in the face Mommy.
cgv	oh don't hit me in the face.
kid	why.
cgv	you might bruise it and we don't want that to happen.
kid	I don't.
kid	I wouldn't want that what's that Mom.
cgv	elastic.
kid	I bit on it Mom I bit on it Mom.
cgv	why.
kid	because my teeth bite it.
cgv	why are you doing that.
kid	because.
cgv	don't pull you caps now they might fall off.
kid	I'm hungry.
