participant	content
cgv	what.
kid	jelly toast and hot chocolate and hot chocolate.
cgv	we don't have any hot chocolate.
kid	huh.
cgv	we don't have any hot chocolate.
kid	when are we gon (t)a have it.
kid	when are we gon (t)a have it.
cgv	I guess after we go to the store and buy some.
kid	I wonder I wonder when Mommy's gon (t)a get when she's not tired anymore.
cgv	huh.
kid	I wonder when Mommy's gon (t)a get up.
cgv	she's going to get up pretty soon.
kid	maybe in the nighttime.
cgv	no.
kid	we have to get something for for for her to get up.
cgv	yeah.
kid	so she won't feel bad bad in the nighttime bad in the daytime guess what I saw yesterday.
cgv	what.
kid	guess.
cgv	a dinosaur.
kid	no a monarch butterfly was killed by a bird.
cgv	it was.
kid	yeah.
cgv	how do you know.
kid	(be)cause it was laying on the ground real still and it's wings was all eated up.
cgv	oh sounds like it was dead alright.
kid	birds think monarch butterflies taste yucky.
cgv	they do.
kid	yeah if birds liked to eat monarchs@n butterflies they would eat it all up but they didn't eat they didn't eat it all up.
cgv	yeah that's right Abe I wonder why the birds killed it.
kid	I don't know maybe it bothered them.
cgv	what.
kid	are you talking to me.
cgv	yeah.
kid	I was just singing a song.
cgv	oh.
kid	I'm cold that's how come.
cgv	what did you dream about last night.
kid	last night.
cgv	yeah.
kid	not anything.
cgv	how come.
kid	because I didn't know anything to dream in the daytime to sing in the nighttime I I didn't.
cgv	what do you do in the daytime.
kid	I sing in the daytime.
cgv	oh.
kid	it's raining it's snowing it's snowing inside our house.
cgv	oh.
kid	I mean jelly not honey.
cgv	we don't have any jelly.
kid	oh it's raining it's pouring the old man is snoring Dad this needs a two it's snowing inside our house Daddy.
cgv	oh no what are we going to do.
kid	we need to live outside.
cgv	how come.
kid	because it's snowing in our house.
cgv	isn't it snowing outside.
kid	no Daddy.
cgv	yeah.
kid	I need a wash+rag.
cgv	how come.
kid	I'm getting sticky.
cgv	okay.
kid	not anywhere else I need dried off now.
cgv	it'll dry off.
kid	I don't think so.
cgv	yeah.
kid	no after I'm done eating I could have a m_and_m.
cgv	maybe okay.
kid	okay.
cgv	did you have fun playing yesterday.
kid	no one was playing with me.
cgv	huh.
kid	no one was playing with me.
cgv	yesterday.
kid	uhhuh.
cgv	I thought some people were.
kid	yeah and then they went at MacDonalds'.
cgv	oh.
kid	I mean at Burger King.
cgv	oh did you have fun when you were playing though.
kid	yeah.
cgv	what did you do.
kid	we played armies.
cgv	what would have happened if you me would have went to the moon yesterday.
kid	not Momma.
cgv	yeah Mommy too what would have happened if we would have went to the moon.
kid	the moon would be there and and and the sun and the moon and the world and the sky and the trees and the worms and the grass would be up there.
cgv	all those things would be on the moon.
kid	yeah and your eyes and my eyes and Mommy's eyes and my daddy's eyes and your baby's eyes.
cgv	did you know our phone's fixed.
kid	huh.
cgv	our phone's fixed.
kid	how.
cgv	the phone company fixed it.
kid	when the wires get knocked down again then our phone would get fixed again right.
cgv	our phone wouldn't get fixed.
kid	no it would.
cgv	yeah it would what would we do if we didn't have a phone.
kid	I don't know we would have a phone we would have a phone if if we didn't have any we couldn't call my my grandma.
cgv	nope we couldn't call anybody.
kid	or mine or daddies or mommas.
kid	do you want this.
cgv	no.
kid	how come.
cgv	it's yours not mine.
kid	I don't want it I'm not hungry anymore anyway I want cracker+jacks now.
cgv	no.
kid	how come.
cgv	eat the rest of that first.
kid	I can't it's too big.
cgv	if you're not hungry then you can't eat cracker+jacks.
kid	if if I'm not hungry I can.
cgv	how.
kid	I'll just sneak in the car and get some.
cgv	you're a little turd try to eat a little more of this.
kid	how much.
cgv	as much as you can.
kid	how (a)bout three bites since I'm three years old.
cgv	okay.
kid	if I get three or four I wouldn't have any cracker+jacks.
cgv	how come.
kid	I wouldn't have any room.
cgv	oh eat three anyway.
kid	(o)kay I ate three I ate three could I have some now.
cgv	are you sure you ate three.
kid	yeah yeah I ate three little pieces.
cgv	did you drink all your milk.
kid	no I need to drink it I drank all of it could I have some now.
kid	some cracker+jacks.
cgv	where are they.
kid	in the car or something.
cgv	Momma just said to save em until we go play baseball tonight.
kid	I don't want to I don't want to play baseball don't you want to.
kid	I don't want to.
cgv	I want to.
kid	I don't want to I want to stay home and have some cracker+jacks.
cgv	tonight when we go you can take your cracker+jacks.
kid	well I don't wan(t) (t)a go.
cgv	okay then you don't have to eat any cracker+jacks.
kid	I would have to is I'm hungry if you're not hungry I would have some cracker+jacks I don't wan(t) (t)a go play baseball.
cgv	okay.
kid	tell Mommy that.
cgv	Mommy Abe doesn't wan(t) (t)a go play baseball she still thinks it's too early to eat cracker+jacks.
kid	it's not early.
cgv	it's not early know what we could do.
kid	what.
kid	play outside.
cgv	wait you have to get dressed first.
kid	bring my clothes down ow you hurt my leg.
cgv	I'm sorry is it okay.
kid	yeah hey not my chin not my chin again.
cgv	you're still sticky.
kid	you go get my clothes okay Daddy.
