participant	content
kid	making muffins we making muffins yucky yucky.
cgv	why is it yucky.
kid	the flour's yucky.
cgv	no it's not.
kid	when you put those muffins in there I'd like to lick the bowl Mom when you put those muffins in there I'd like to lick the bowl.
cgv	you'd like to lick the bowl.
kid	uhhuh I'd like that Mickey Mouse Donald Duck Pluto Goofy Honey Bears.
cgv	we're going to make a lot of muffins Abe.
kid	why.
cgv	we'll freeze some so that we can eat them later.
kid	oh I'd like that put this down in the sink.
cgv	what.
kid	put this down in the sink and it goes to the river than we have ta go swimming and get it we have ta go look for it and than we have ta get it.
cgv	what.
kid	when I throw that this green spoon in the like [?].
cgv	oh then we'd have to go look for it.
kid	uhhuh Mommy I wan(t) (t)a lick that.
cgv	wait until I'm done with it and then you can lick it.
kid	lick that and lick the bowl.
cgv	you wan(t) (t)a lick the spoon and the bowl.
kid	uhhuh the spoon and the bowl what happened Mom.
cgv	it lost its balance and fell.
kid	oh why why I can't put this in here.
kid	I wan(t) (t)a put this in the lake I wan(t) (t)a put this in the lake.
cgv	here you go you can lick this.
kid	thank you I like this.
cgv	you do.
kid	uhhuh.
cgv	Abe you threw my towel on the floor and I couldn't find it.
kid	huh.
cgv	you threw my towel on the floor and I couldn't find it.
kid	I can find it it's right there Mom it's right there.
cgv	thank you Abe.
kid	why you have ta put those in there Mom.
kid	why.
kid	why Mommy.
cgv	so we can freeze them.
kid	oh.
cgv	and then one day you can have them for lunch or for breakfast.
kid	for breakfast.
cgv	for breakfast.
kid	uhhuh Mickey Mouse Donald Duck three Honey Bears Pluto.
cgv	are those all your friends.
kid	uhhuh and Goofy.
cgv	Goofy too.
kid	uhhuh they are all my friends I have ta send them a letter my friends send me mail so I send them mail too.
cgv	why.
kid	because they are very nice.
cgv	that's a good reason.
kid	when I go outside I'm gon (t)a show Lisa my belt.
cgv	I bet that she'd like that.
kid	I think so.
cgv	this is really crispy celery.
kid	huh.
cgv	this is crispy celery.
kid	it's hard.
cgv	no it's crispy see.
kid	I thought broken that was hard I thought that was hard how you broke that.
cgv	I cut it with a knife.
kid	oh no they're not ready yet they're not ready Mom they're not ready yet.
cgv	okay shut the oven door.
kid	okay Mom I wan(t) (t)a wash my hands I wan(t) (t)a wash my hands.
cgv	how did your hands turn purple.
kid	what.
cgv	how did your hands turn purple.
kid	what purple.
kid	what purple Mom.
cgv	look Mommy doesn't have purple hands you do how come.
kid	because I ate blueberries.
cgv	they stained your hands.
kid	uhhuh.
cgv	you're a purple monster if I've ever seen one let's go wash your hands and face.
kid	I did I did.
cgv	let's do it again.
kid	I did I did I have ta brush my teeth.
cgv	I will so that I can do it fast.
kid	no do it slow do it slow.
cgv	do it slow.
kid	uhhuh.
cgv	okay.
kid	I'm a purple monster again I'm a purple monster again.
cgv	you are.
kid	uhhuh I'm a purple monster again I closed the door.
cgv	open the door.
kid	what.
cgv	open the door.
kid	why.
cgv	just because.
kid	okay.
cgv	thank you.
kid	Mommy you wear a belt like mine when I my belt Mommy you wear your belt when I wear my belt.
cgv	when.
kid	see my belt's on.
cgv	uhhuh when did you want me to wear my belt.
kid	now right now.
cgv	did you want to eat a muffin when they're done.
kid	uhhuh.
cgv	are you hungry or do you want to wait until later.
kid	later.
cgv	okay.
kid	you don't have any things.
cgv	I don't have any loops.
kid	why.
cgv	because this skirt wasn't made for a belt.
kid	I falled@n down.
cgv	I think you fell down on purpose too I think you were trying to be funny you little bunny.
kid	I'm Mickey Mouse.
cgv	you are.
kid	uhhuh I put that down I run real fast and I put that down.
cgv	good.
kid	I falled@n in a fire I falled@n in a fire I falled@n in a fire Mom.
cgv	you did.
kid	uhhuh this is my suitcases this is my suitcases.
cgv	that's your suitcase.
kid	uhhuh.
cgv	is that all of the stuff that you're taking on your trip.
kid	uhhuh.
cgv	where are you going.
kid	I'm going at Texas I falled@n down I falled@n down again Mom I falled@n down again Mom I falled@n down in a camp+fire.
cgv	you better be careful.
kid	I falled@n down in a camp+fire again Mom Mom look at what I made a kind of letter Mom Mom look at what I made a kind of letter.
cgv	what letter.
kid	a s@l.
cgv	a s@l.
kid	uhhuh a s@l what a s@l for Mommy.
cgv	for silly and w@l is for Abe s@l and w@l for silly Abe.
kid	I'm not silly you are silly I'm gon (t)a carry this suitcases I'm gon (t)a carry this suitcases.
cgv	what are you doing Abe.
kid	I falled@n in the camp+fire again.
cgv	you fell in the camp+fire again.
kid	uhhuh I wan(t) (t)a go play Mom.
cgv	what are you going to play with.
kid	I'm gon (t)a go play outside.
cgv	no you have to take a nap pretty soon.
kid	I wan(t) (t)a go outside I wan(t) (t)a go outside I wan(t) (t)a go outside.
cgv	you can after you take a nap.
kid	I'm gon (t)a go hide I'm gon (t)a go hide I can't get this I can't get this.
cgv	what's wrong.
kid	I can't get this.
