participant	content
kid	what.
cgv	just a second let me unpack this stuff and then I'll help you okay.
kid	okay With this.
kid	with the ax.
cgv	no Abe what we need to do is get some thin wood that's too thick.
kid	no I really love it this wood.
cgv	do you want to try making an ax with that wood.
kid	yeah hey hey lookit Mommy.
cgv	what's it have on it.
kid	a little big uh a little little small hole.
cgv	a screw hole that's what it looks like.
cgv	let me see it.
kid	make a ax this one okay.
cgv	I could use the file to make one.
kid	file one file one file one okay.
cgv	I think that if the handle was this big then +/..
kid	yeah yeah yeah yeah yeah yeah yeah yeah do I was talking about this big okay.
kid	hey.
kid	know what.
cgv	what.
kid	at school they had a micro(phone) a microphone.
cgv	what were they using it for.
kid	to hear voices.
cgv	did you hear your voice.
kid	yeah it said +"/..
kid	+" a@l b@l c@l d@l e@l f@l g@l h@l i@l j@l k@l.
cgv	did they play it back so you could hear yourself sing.
kid	no.
cgv	hey did you tell Daddy about the candles.
kid	we did a candle today.
cgv	you made a candle.
kid	yeah no we did a candle with a a with this big with this big with this big and with this big and a little one and a biggest one you could blow it out that wouldn't work that wouldn't work that would work.
cgv	oh so you really had to blow hard to do it huh.
kid	yeah hey hey hey.
kid	I think with this one it could work we could make a ax with this one see.
cgv	no we need that one for the philodendron okay.
kid	okay okay how (a)bout this one.
kid	how (a)bout this one with my uh uh how (a)bout this one.
cgv	okay.
cgv	okay we'll do it in just a little while okay.
kid	okay.
cgv	did you tell Daddy how we got home from school today.
kid	we did a bus (ex)cept it didn't take too long (ex)cept I cried when it didn't taked too long.
cgv	it did take too long.
kid	no it didn't so I cried.
cgv	you wanted to ride on it for a long time.
kid	yeah.
cgv	oh.
cgv	tell Daddy why you cried.
kid	because I wanted the bus to take uh to take us home a long time.
cgv	so he wouldn't have to walk.
cgv	oh you wanted it to bring you here.
kid	yeah.
cgv	that wasn't worth crying about I don't think.
kid	yes it was.
cgv	hey Abe.
kid	what.
cgv	see what's on the floor.
cgv	see.
cgv	what you made Daddy.
kid	yeah hey.
kid	look it.
kid	your own kite.
cgv	oh boy.
cgv	show him what you made for me.
kid	a flower kite for Dad for Momma.
cgv	tell him about the things you put on it.
kid	a ribbon and a and fat cheeks and and there's a long tail.
