participant	content
cgv	you popped it.
kid	uhhuh I popped it I pushed it and it popped.
cgv	how come.
kid	I pushed it when my Mommy comes home I wan(t) (t)a go at the store when my Mommy comes home I wan(t) (t)a go at the store okay Dad okay Dad okay.
cgv	we'll ask Mom when she gets home.
kid	I wan(t) (t)a play with my big cars and my little cars.
cgv	you do.
kid	uhhuh.
cgv	what are you going to do with your cars.
kid	huh.
cgv	what are you going to do with all your cars.
kid	I'm just playing.
cgv	oh just playing huh.
kid	Daddy this looks like Mr Munster.
cgv	it sure does.
kid	I like him I'm gon (t)a put these in Daddy I put some toys in there.
cgv	you put some toys inside your truck.
kid	uhhuh.
cgv	where are you going.
kid	I'm just going on a little ride.
cgv	going on a little ride.
kid	uhhuh.
cgv	where are you going.
kid	on a little ride.
cgv	oh what are you putting in there now.
kid	huh.
cgv	what are you putting in your truck now.
kid	just some round things.
cgv	what for.
kid	in the truck.
cgv	in the truck.
kid	uhhuh with this that's too big Daddy that's too big.
cgv	it is too big.
kid	uhhuh it won't fit I got all of them.
cgv	you got all of them inside.
kid	uhhuh all of them it didn't take one a little while or more.
cgv	what are you doing now.
kid	get em out.
cgv	are you going to take them all out.
kid	uhhuh I'm making a little castle.
cgv	oh I see what kind of castle is it.
kid	a king castle.
cgv	a king's castle.
kid	uhhuh.
cgv	what does the king do there.
kid	works every night.
cgv	works every night.
kid	uhhuh.
cgv	I didn't know that what else does the king do in his castle.
kid	um walks every night too.
cgv	hmm.
kid	walks in the night too.
cgv	he walks in the night.
kid	uhhuh that falled@n down the steps right here and right here.
cgv	that fell down the steps of the truck.
kid	uhhuh.
cgv	it sure did.
kid	there's no more I guess I'll go for a little ride.
cgv	that sure is going to be a big castle.
kid	it is a big castle.
cgv	it is a big castle.
kid	uhhuh I'm gon (t)a ride on it I broke the castle I broke the castle I better put them in again.
cgv	uhhuh.
kid	that's two of em this one I wan(t) (t)a go in the car I wan(t) (t)a go in the car.
cgv	you wan(t) (t)a go in the car.
kid	uhhuh.
cgv	where.
kid	I wan(t) (t)a go in the car.
cgv	where do you want to go.
kid	I wan(t) (t)a go I wan(t) (t)a go somewhere.
cgv	I know you want to go somewhere but where do you want to go.
kid	monkey's house.
cgv	you want to go to a monkey's house.
kid	uhhuh someone broke this.
cgv	uhhuh who broke it.
kid	mean Paul busted it.
cgv	mean Paul busted it.
kid	uhhuh mean big Paul busted it.
cgv	oh.
kid	mean bigger Paul busted it what's bigger Paul mean Paul's mother name.
cgv	I think it's Esther.
kid	Est(h)er.
kid	no no I didn't hear that.
cgv	you didn't hear that.
kid	no I think mean Paul's mother name Mickey Mouse.
cgv	you think her name is Mickey Mouse.
kid	uhhuh.
cgv	really.
kid	uhhuh who's that.
kid	the mailman.
kid	I see that's the mailman Dad that's the mailman hi Mr mailman.
kid	goodbye got any mail for me.
cgv	let me see there's some mail Abe.
kid	for me.
cgv	yeah.
kid	for you.
cgv	uhhuh.
kid	some for me too.
cgv	uhhuh.
kid	I want the mailman got me a package.
cgv	here's an envelope for you.
kid	I don't want a envelope.
cgv	what do you want.
kid	I want some pennies in it get me some pennies okay two pennies two pennies.
cgv	do you want me to get you some pennies.
kid	uhhuh just a couple of pennies okay.
cgv	okay here's some.
kid	thank you I need those I need those also Dad I found them.
cgv	you found the pennies that you needed.
kid	uhhuh what's your mail.
kid	I found Leslie's bracelet that's a bracelet that's a bracelet for Leslie this is a bracelet when I go somewhere.
cgv	one bracelet is Leslie's and one is for when you go somewhere.
kid	uhhuh I need some pennies I can't get some I can't get some.
cgv	let me get you a couple.
kid	okay.
cgv	here you go.
kid	I need one and two and three.
cgv	here you go.
kid	I can't put em in I can't put em in there's not too much Daddy.
cgv	what.
kid	there's not too much in here.
cgv	come here and show me.
kid	there's not too much in here Dad I need some more pennies in here I don't have any couple of pennies Dad I need two I need three.
cgv	come here and show me what you've got.
kid	I don't have any.
cgv	you don't.
kid	uhuh.
cgv	let me see you've got three pennies that's how many you wanted help me find some flies okay.
kid	I see one get him.
cgv	how can we get him.
kid	get him with a map and hit him like that.
cgv	hit him with a map.
kid	uhhuh.
cgv	okay let's try and get him.
kid	I can't.
cgv	I'll try to get him do you think I can.
kid	I saw him flying around.
cgv	you saw him flying around.
kid	uhhuh.
cgv	tell me when you see him again and we'll get him okay.
kid	uhhuh I missed him I missed him I missed him.
cgv	Daddy missed him too we sure aren't very good shots.
kid	we will kill him when we get a horse gun.
cgv	a horse gun.
kid	uhhuh.
cgv	what's a horse gun.
kid	a horse gun says +"/..
kid	+" ccheeou@o.
cgv	oh a horse gun says +"/..
cgv	+" ccheeou@o.
kid	uhhuh I wan(t) (t)a get a horse gun Daddy I wan(t) (t)a get a couple pennies.
cgv	you've got a couple of pennies how many do you want.
kid	I didn't want two.
cgv	do you want another one.
kid	uhhuh another one.
cgv	okay you stay out here and I'll get it.
kid	okay I'll stay out here.
cgv	here's a penny.
kid	Daddy I need some couple pennies.
cgv	well here's one that's what you said remember.
kid	a couple pennies.
cgv	how many do you have in there now.
kid	four now.
cgv	four.
kid	uhhuh.
cgv	that's right.
kid	I wan(t) (t)a get some more pennies.
cgv	Abe that's enough.
kid	where's my other penny.
kid	where's my other penny.
cgv	did you drop it.
kid	uhhuh here it is I need some more pennies.
cgv	Abe I think you have enough pennies.
kid	I saw some in there I didn't get any some.
cgv	yes you did you have four pennies.
kid	I need a box I need a box to play in.
cgv	you do.
kid	uhhuh.
cgv	well we'll try and get you a box the next chance we get.
kid	Daddy you get the mattress down.
cgv	the what.
kid	the mattress down in the bed+room.
cgv	the mattress down in the bed+room.
kid	uhhuh.
cgv	now right now I'll get it down later awoh who got me.
cgv	help.
cgv	help.
cgv	something got me.
kid	I'm a gorilla a big big gorilla I got you a big gorilla got you.
cgv	a gorilla got me.
cgv	help.
cgv	what are you going to do with me.
kid	I'll put you in the river.
cgv	oh no please.
cgv	help.
cgv	help.
cgv	don't put me in the river.
kid	I got you this one has this one has numbers on it.
cgv	it does.
kid	uhhuh what's on the telephone your telephone.
cgv	numbers.
kid	I don't want numbers on my telephone.
cgv	what do you want.
kid	just circles.
cgv	just circles.
kid	I want circles on my telephone.
cgv	okay I guess I'll take your telephone and give it to someone else then.
kid	and get a circle one for me.
cgv	no I won't get you a circle one I'll just give this one away.
kid	I need a circle one.
cgv	I don't think so.
kid	I want one when I grow big I get one.
cgv	okay when you grow big you get a circle telephone.
kid	I'm getting you.
cgv	you're getting me.
kid	I got you.
cgv	you did.
kid	uhhuh I got you I wan(t) (t)a do something I wan(t) (t)a go at the movies.
cgv	you do.
kid	uhhuh.
cgv	how come.
kid	I wan(t) (t)a go at the movies.
cgv	we're not going to go today.
kid	I wan(t) (t)a go tonight.
cgv	tonight.
kid	uhhuh.
cgv	we're not going to go tonight either Abe.
kid	I wan(t) (t)a go today I wan(t) (t)a go at the movies I wan(t) (t)a go at the movies.
cgv	why don't we read a book instead.
kid	no.
cgv	why not.
kid	I don't want to.
cgv	say do you think Grandma will like this picture.
kid	I don't think so.
cgv	what.
kid	I'm (a)fraid I don't think so.
cgv	I think she'll like it the Mouse Factory is on today don't you want to see it.
kid	uhhuh I wan(t) (t)a see it I wan(t) (t)a see it when my Mommy when the sun goes down and my Mommy comes home okay.
cgv	you want to see it then.
kid	uhhuh.
cgv	we'll watch it when it comes on tonight okay.
kid	my Mommy come and watch it with me when the sun goes down.
cgv	she'll probably be back by then.
kid	when the sun goes down when the sun goes down when the sun goes down.
cgv	you want the sun to go down.
kid	uhhuh.
cgv	how come.
kid	I see I see a letter on the tv.
cgv	what kind of letter.
kid	I see a letter on the tv.
cgv	what letter is it.
kid	number eight.
cgv	number eight.
kid	on the tv what's that orange book.
kid	what's that orange book Dad.
cgv	where.
kid	this orange book mine this orange book mine this orange book.
cgv	uhhuh that's your orange book.
kid	I don't want a orange book I don't want a orange book.
cgv	you don't want it.
kid	uhuh.
cgv	well put it back and I'll give it to somebody else then.
kid	I don't want it I don't want it I don't want it I wan(t) (t)a read this big book no that one to take school Daddy I got a book for you read this.
cgv	you want me to read it.
kid	uhhuh.
cgv	okay come here this book is about spaceships.
kid	we didn't saw that.
cgv	we didn't see it.
kid	uhuh.
cgv	maybe we can sometime.
cgv	0.
kid	hi Mommy.
cgv	hi Abe hi Dad.
cgv	hi Mom Abe tell Mommy about the show you saw.
kid	Mommy we saw Mickey Mouse a giant comed@n and and scared Mickey Mouse and Goofy and and then a magic wand and and and then nothing.
cgv	wow.
cgv	Abe and I saw Mickey Mouse And The Bears Talk on tv.
cgv	did you like it.
kid	uhhuh Mommy when I grow up I be a policeman when you grow up you be a mother policeman when you grow up you be a policeman too.
cgv	we'll all be policeman.
kid	uhhuh.
cgv	come show Mommy the book we're reading Abe.
kid	come see Mom come see Mom.
cgv	what's it about.
kid	spaceships and sea monsters and dinosaurs.
cgv	really.
kid	uhhuh.
cgv	uhhuh I see a picture of some dinosaurs.
kid	why he's eating that baby dinosaur.
kid	why.
cgv	Abe dinosaurs +....
