participant	content
cgv	November's older than you think Edna.
cgv	Abe let me put the scissors up okay.
kid	I don't like you Dad.
cgv	you don't like me.
kid	no I'm uh kill you.
cgv	how come.
kid	because I +....
cgv	when you go to school Abe you can kill Daddy.
cgv	thanks Ann.
kid	I will kill picture bang picture I killed a picture I killed a picture.
cgv	what picture.
kid	that picture Stan's picture I killed Stan's picture Daddy I killed your picture Daddy.
cgv	Abe would you like some raisins.
kid	huh.
kid	no.
cgv	they're fresh raisins Edna you want some.
cgv	Stan do you.
cgv	no I want some of this blue cheese.
cgv	blue cheese and rye bread.
cgv	blue cheese and crackers.
cgv	Abe.
kid	huh.
cgv	would you like some walnuts.
kid	hunhunh.
cgv	you sure.
cgv	Edna would you.
kid	it's three o'clock no you were wrong it's three o'clock no you were wrong Mom it's three o'clock.
cgv	three o'clock.
kid	yeah three o'clock.
cgv	what happens at three o'clock.
kid	I don't know.
cgv	let's see at three o'clock you'll probably be taking a nap.
kid	hunhunh.
cgv	uhhuh.
kid	it's three o'clock time to eat.
kid	time to eat lunch.
cgv	no twelve o'clock is time to eat lunch.
kid	eight o'clock time to eat lunch no all the way around it's twelve o'clock what happens at twelve o'clock Mom.
cgv	at twelve o'clock we eat lunch.
kid	at +....
cgv	Abe this boy at the co_op told me a real good thing to do with yogurt.
kid	what.
cgv	you put cream cheese and yogurt and a little bit of milk blend em all and you have sort of of a dessert.
kid	no not a milkshake.
kid	yeah I want one.
cgv	okay I'll fix you one.
kid	what happened at what happened at this letter.
cgv	that's a number six.
kid	what happened at +....
cgv	it says it is three thirty.
kid	huh.
cgv	it says it's three thirty.
kid	that twelve.
cgv	no that's the number six.
kid	number six say it's it's three thirty.
cgv	uhhuh see the little hand is pointing to the three when the big hand points to the six that means it's half past the hour that's difficult to explain.
cgv	you want to make a pot of coffee.
cgv	go ahead.
cgv	I didn't say would you like for me to make it.
kid	it's four o'clock now.
cgv	would you like some coffee Ann.
cgv	yeah.
cgv	okay I'll make some.
cgv	I'll always drink coffee.
kid	what's that.
cgv	this is rice.
cgv	why don't you make it.
cgv	why don't we start making it again.
cgv	I'm going to wait until we get a glass coffee pot you really spoiled us Edna.
cgv	no I think it's too strong I thought it was good when we were camping but it's too strong otherwise.
cgv	see all the rice.
kid	why Bert on Sesame Street tricks Ernie.
cgv	he tricks Ernie because sometimes Ernie tricks him that's how they that's how they have their fun Abe they play games with each other.
kid	I want me have some.
cgv	go ahead and have a few would you like a few walnuts.
kid	huhuh.
cgv	just want me to fix you a yogurt milkshake.
kid	uhhuh yogurt.
cgv	do you want some cheese and crackers.
kid	I I didn't want any crackers.
cgv	just want me to fix your yogurt.
kid	yeah.
cgv	I'll get around to it Abe sooner or later.
cgv	did you tell Edna what happened at Burger King last night.
kid	what happened.
cgv	do you want a yogurt milkshake.
cgv	Stan do you.
kid	what happened at Burger King last night Mommy.
kid	what happened at Burger King last night I don't know.
kid	I don't know.
cgv	you do.
kid	yeah.
cgv	okay wonder where the blender is.
cgv	why don't you just mix it up by hand (be)cause I don't need one.
cgv	you don't.
cgv	no (be)cause it looks like it's going to be a real hassle if it's not going to be a real hassle I'll go ahead and take it.
kid	you do it in a you do it with the mixer.
cgv	you want me to do it with the mixer.
kid	yeah.
cgv	that's a good answer that's a good solution.
kid	what's that.
kid	what's that.
kid	I haven't tasted that.
cgv	that's called cream cheese that's part of the ingredients for your milkshake.
kid	that's good cream cheese.
cgv	I'm glad you like it.
cgv	I can't take too much blue cheese at one time.
kid	do you like cream cheese +....
cgv	uhhuh.
kid	to eat.
cgv	uhhuh.
kid	oh he likes to eat cream cheese.
cgv	well good you want another bite.
kid	no that's enough little bite.
cgv	do you want any more.
cgv	no of the blue cheese.
cgv	oh cream cheese and rye bread are supposed to be real good you all want to eat some.
kid	you cut it you almost cut your fingers.
cgv	I was being very careful.
kid	you you you cut you cut it this way.
cgv	I cut it downwards.
kid	yeah.
cgv	and I should have held the knife in a different direction.
kid	uhhuh.
cgv	but maybe I should but I knew what I was doing I wouldn't cut myself I was very careful.
kid	that a mixer.
cgv	here I have about twenty scars on my hands.
kid	that a mixer.
cgv	uhhuh do you want ta put the beaters in.
kid	what you doin(g) with that mixer.
