time	cosine_lexical_tok2	cosine_lexical_tok3	condition_info	cosine_lexical_lem4	cosine_lexical_tok4	cosine_lexical_lem3	cosine_syntax_penn_tok4	cosine_syntax_penn_tok3	cosine_syntax_penn_tok2	cosine_syntax_penn_lex2	cosine_syntax_penn_lex3	cosine_syntax_penn_lex4	cosine_semanticL	partner_direction	cosine_lexical_lem2
0	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.117772454902	1>2.0	0.0
1	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.320753453122	2>1.0	0.0
2	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	1>2.0	0.0
3	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.369270541729	2>1.0	0.0
4	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0350495779317	1>2.0	0.0
0	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0053773970075	1>2.0	0.0
1	0.288675134595	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.658746022906	2>1.0	0.288675134595
2	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	1>2.0	0.0
3	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.369270541729	2>1.0	0.0
4	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.359622228628	1>2.0	0.0
0	0.0	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.592536541055	1>2.0	0.0
1	0.0710669054519	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.672099464307	2>1.0	0.0710669054519
2	0.0	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0053773970075	1>2.0	0.0
3	0.288675134595	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.658746022906	2>1.0	0.288675134595
4	0.0	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	1>2.0	0.0
0	0.0	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0053773970075	1>2.0	0.0
1	0.288675134595	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.658746022906	2>1.0	0.288675134595
2	0.0	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	1>2.0	0.0
3	0.0	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.369270541729	2>1.0	0.0
4	0.0	0.0	condition_2-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.592536541055	1>2.0	0.0
0	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.369270541729	1>2.0	0.0
1	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	2>1.0	0.0
2	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123305915444	1>2.0	0.0
3	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.380414968521	2>1.0	0.0
4	0.0	0.0	condition_1-dyad_12-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0053773970075	1>2.0	0.0
0	0.0	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.369270541729	1>2.0	0.0
1	0.0	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334991467175	2>1.0	0.0
2	0.0	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0053773970075	1>2.0	0.0
3	0.288675134595	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.658746022906	2>1.0	0.288675134595
4	0.0	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123305915444	1>2.0	0.0
0	0.0	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.369270541729	1>2.0	0.0
1	0.0	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	2>1.0	0.0
2	0.144337567297	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.412716931091	1>2.0	0.144337567297
3	0.0	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30871938943	2>1.0	0.0
4	0.0870388279778	0.0	condition_1-dyad_10-dyad_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66563334416	1>2.0	0.0870388279778
0	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0053773970075	1>2.0	0.0
1	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0350495779317	2>1.0	0.0
2	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.369270541729	1>2.0	0.0
3	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	2>1.0	0.0
4	0.0	0.0	condition_2-dyad_10-dyad_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123305915444	1>2.0	0.0
